user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
GCA_017461225.1_ASM1746122v1_genomic	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp017461225	GCA_017461225.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp017461225	100.0	0.996	GCA_017461225.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp017461225	100.0	0.996	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_945492685.1, s__UBA71 sp945492685, 95.0, 81.63, 0.652; GCA_016296195.1, s__UBA71 sp016296195, 95.0, 81.51, 0.544; GCA_944322255.1, s__UBA71 sp944322255, 95.0, 81.49, 0.556; GCA_009911715.1, s__UBA71 sp006954425, 95.0, 81.34, 0.547; GCA_017935945.1, s__UBA71 sp017935945, 95.0, 81.33, 0.534; GCA_017507885.1, s__UBA71 sp017507885, 95.0, 80.97, 0.451; GCA_905187815.1, s__UBA71 sp905187815, 95.0, 80.77, 0.541; GCA_015063135.1, s__UBA71 sp015063135, 95.0, 80.64, 0.48; GCA_944320485.1, s__UBA71 sp944320485, 95.0, 80.55, 0.526; GCA_002504405.1, s__UBA71 sp002504405, 95.0, 80.32, 0.524; GCA_900767505.1, s__UBA71 sp900767505, 95.0, 80.18, 0.433; GCA_944320495.1, s__UBA71 sp944320495, 95.0, 80.14, 0.48; GCA_015063165.1, s__UBA71 sp015063165, 95.0, 80.12, 0.438; GCA_934702355.1, s__UBA71 sp934702355, 95.0, 79.98, 0.467; GCA_006954465.1, s__UBA71 sp006954465, 95.0, 79.91, 0.432; GCA_016284295.1, s__UBA71 sp016284295, 95.0, 79.8, 0.442; GCA_017540825.1, s__UBA71 sp017540825, 95.0, 79.72, 0.438; GCA_001563305.1, s__UBA71 sp001563305, 95.0, 79.68, 0.425; GCA_017519045.1, s__UBA71 sp017519045, 95.0, 79.66, 0.432; GCA_015063245.1, s__UBA71 sp015063245, 95.0, 79.61, 0.389; GCA_017616575.1, s__UBA71 sp017616575, 95.0, 79.6, 0.329; GCA_002506425.1, s__UBA71 sp002506425, 95.0, 79.57, 0.414; GCA_015063125.1, s__UBA71 sp015063125, 95.0, 79.47, 0.368; GCA_015063285.1, s__UBA71 sp015063285, 95.0, 79.39, 0.284; GCA_017468935.1, s__UBA71 sp017468935, 95.0, 79.35, 0.309; GCA_944321985.1, s__UBA71 sp944321985, 95.0, 79.3, 0.408; GCA_017475875.1, s__UBA71 sp017475875, 95.0, 79.27, 0.291; GCA_002504495.1, s__UBA71 sp002504495, 95.0, 79.1, 0.324; GCA_017524805.1, s__UBA71 sp017524805, 95.0, 78.7, 0.265; GCA_002506175.1, s__UBA71 sp002506175, 95.0, 78.44, 0.327; GCA_015063235.1, s__UBA71 sp015063235, 95.0, 78.3, 0.255; GCA_016281925.1, s__UBA71 sp016281925, 95.0, 78.03, 0.286	92.12	11	N/A	N/A
GCA_017519045.1_ASM1751904v1_genomic	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp017519045	GCA_017519045.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp017519045	100.0	0.997	GCA_017519045.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp017519045	100.0	0.997	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_017616575.1, s__UBA71 sp017616575, 95.0, 84.28, 0.691; GCA_017540825.1, s__UBA71 sp017540825, 95.0, 81.61, 0.554; GCA_015063165.1, s__UBA71 sp015063165, 95.0, 81.36, 0.559; GCA_944322255.1, s__UBA71 sp944322255, 95.0, 80.09, 0.363; GCA_009911715.1, s__UBA71 sp006954425, 95.0, 79.94, 0.346; GCA_944320495.1, s__UBA71 sp944320495, 95.0, 79.75, 0.305; GCA_905187815.1, s__UBA71 sp905187815, 95.0, 79.67, 0.354; GCA_017461225.1, s__UBA71 sp017461225, 95.0, 79.66, 0.432; GCA_015063135.1, s__UBA71 sp015063135, 95.0, 79.62, 0.342; GCA_017524805.1, s__UBA71 sp017524805, 95.0, 79.58, 0.353; GCA_002504405.1, s__UBA71 sp002504405, 95.0, 79.47, 0.354; GCA_016281925.1, s__UBA71 sp016281925, 95.0, 79.37, 0.396; GCA_944320485.1, s__UBA71 sp944320485, 95.0, 79.31, 0.358; GCA_016296195.1, s__UBA71 sp016296195, 95.0, 79.31, 0.332; GCA_017507885.1, s__UBA71 sp017507885, 95.0, 78.86, 0.322; GCA_006954465.1, s__UBA71 sp006954465, 95.0, 78.78, 0.328; GCA_944321985.1, s__UBA71 sp944321985, 95.0, 78.76, 0.239; GCA_001563305.1, s__UBA71 sp001563305, 95.0, 78.74, 0.341; GCA_945492685.1, s__UBA71 sp945492685, 95.0, 78.67, 0.435; GCA_002506425.1, s__UBA71 sp002506425, 95.0, 78.65, 0.341; GCA_015063125.1, s__UBA71 sp015063125, 95.0, 78.58, 0.264; GCA_002504495.1, s__UBA71 sp002504495, 95.0, 78.54, 0.266; GCA_934702355.1, s__UBA71 sp934702355, 95.0, 78.47, 0.333; GCA_017935945.1, s__UBA71 sp017935945, 95.0, 78.39, 0.286; GCA_016284295.1, s__UBA71 sp016284295, 95.0, 78.39, 0.303; GCA_900767505.1, s__UBA71 sp900767505, 95.0, 78.28, 0.359; GCA_017475875.1, s__UBA71 sp017475875, 95.0, 78.22, 0.313; GCA_016282555.1, s__UBA71 sp016282555, 95.0, 78.03, 0.315; GCA_017468935.1, s__UBA71 sp017468935, 95.0, 77.95, 0.236; GCA_015063245.1, s__UBA71 sp015063245, 95.0, 77.82, 0.294	92.38	11	N/A	N/A
GCA_017524805.1_ASM1752480v1_genomic	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp017524805	GCA_017524805.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp017524805	100.0	0.995	GCA_017524805.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp017524805	100.0	0.995	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_016281925.1, s__UBA71 sp016281925, 95.0, 84.01, 0.703; GCA_015063165.1, s__UBA71 sp015063165, 95.0, 79.92, 0.418; GCA_017519045.1, s__UBA71 sp017519045, 95.0, 79.58, 0.353; GCA_017616575.1, s__UBA71 sp017616575, 95.0, 79.46, 0.352; GCA_017540825.1, s__UBA71 sp017540825, 95.0, 79.38, 0.424; GCA_944322255.1, s__UBA71 sp944322255, 95.0, 78.97, 0.214; GCA_017461225.1, s__UBA71 sp017461225, 95.0, 78.7, 0.265; GCA_015063135.1, s__UBA71 sp015063135, 95.0, 78.69, 0.227; GCA_905187815.1, s__UBA71 sp905187815, 95.0, 78.6, 0.236; GCA_945492685.1, s__UBA71 sp945492685, 95.0, 78.54, 0.249; GCA_009911715.1, s__UBA71 sp006954425, 95.0, 78.54, 0.237; GCA_944320495.1, s__UBA71 sp944320495, 95.0, 78.44, 0.21; GCA_002504405.1, s__UBA71 sp002504405, 95.0, 78.42, 0.249; GCA_934702355.1, s__UBA71 sp934702355, 95.0, 78.37, 0.246; GCA_016296195.1, s__UBA71 sp016296195, 95.0, 78.36, 0.282; GCA_944320485.1, s__UBA71 sp944320485, 95.0, 78.36, 0.212; GCA_002506425.1, s__UBA71 sp002506425, 95.0, 78.18, 0.258; GCA_017935945.1, s__UBA71 sp017935945, 95.0, 78.17, 0.215; GCA_900767505.1, s__UBA71 sp900767505, 95.0, 78.13, 0.282; GCA_016282555.1, s__UBA71 sp016282555, 95.0, 78.11, 0.27; GCA_017507885.1, s__UBA71 sp017507885, 95.0, 78.01, 0.251; GCA_016284295.1, s__UBA71 sp016284295, 95.0, 78.01, 0.192; GCA_001563305.1, s__UBA71 sp001563305, 95.0, 78.01, 0.217; GCA_006954465.1, s__UBA71 sp006954465, 95.0, 77.94, 0.232; GCA_002504495.1, s__UBA71 sp002504495, 95.0, 77.89, 0.152; GCA_017475875.1, s__UBA71 sp017475875, 95.0, 77.59, 0.138; GCA_015063125.1, s__UBA71 sp015063125, 95.0, 77.53, 0.207; GCA_015063245.1, s__UBA71 sp015063245, 95.0, 77.42, 0.222; GCA_017468935.1, s__UBA71 sp017468935, 95.0, 77.38, 0.16	96.26	11	N/A	N/A
GCA_017530685.1_ASM1753068v1_genomic	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp015063165	GCA_015063165.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp015063165	96.86	0.874	GCA_015063165.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp015063165	96.86	0.874	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_017540825.1, s__UBA71 sp017540825, 95.0, 83.76, 0.707; GCA_017519045.1, s__UBA71 sp017519045, 95.0, 81.57, 0.511; GCA_017524805.1, s__UBA71 sp017524805, 95.0, 80.68, 0.42; GCA_017616575.1, s__UBA71 sp017616575, 95.0, 80.68, 0.419; GCA_017461225.1, s__UBA71 sp017461225, 95.0, 80.32, 0.352; GCA_944322255.1, s__UBA71 sp944322255, 95.0, 80.2, 0.38; GCA_009911715.1, s__UBA71 sp006954425, 95.0, 80.09, 0.363; GCA_016296195.1, s__UBA71 sp016296195, 95.0, 80.04, 0.325; GCA_002504405.1, s__UBA71 sp002504405, 95.0, 79.79, 0.33; GCA_015063135.1, s__UBA71 sp015063135, 95.0, 79.78, 0.365; GCA_016281925.1, s__UBA71 sp016281925, 95.0, 79.78, 0.463; GCA_905187815.1, s__UBA71 sp905187815, 95.0, 79.73, 0.361; GCA_934702355.1, s__UBA71 sp934702355, 95.0, 79.72, 0.352; GCA_017507885.1, s__UBA71 sp017507885, 95.0, 79.69, 0.317; GCA_944320495.1, s__UBA71 sp944320495, 95.0, 79.61, 0.32; GCA_945492685.1, s__UBA71 sp945492685, 95.0, 79.59, 0.352; GCA_015063285.1, s__UBA71 sp015063285, 95.0, 79.44, 0.207; GCA_900767505.1, s__UBA71 sp900767505, 95.0, 79.43, 0.368; GCA_006954465.1, s__UBA71 sp006954465, 95.0, 79.42, 0.32; GCA_017935945.1, s__UBA71 sp017935945, 95.0, 79.41, 0.282; GCA_002506425.1, s__UBA71 sp002506425, 95.0, 79.36, 0.283; GCA_001563305.1, s__UBA71 sp001563305, 95.0, 79.33, 0.317; GCA_944320485.1, s__UBA71 sp944320485, 95.0, 79.3, 0.324; GCA_016284295.1, s__UBA71 sp016284295, 95.0, 79.05, 0.322; GCA_015063125.1, s__UBA71 sp015063125, 95.0, 78.91, 0.289; GCA_015063245.1, s__UBA71 sp015063245, 95.0, 78.88, 0.298; GCA_017468935.1, s__UBA71 sp017468935, 95.0, 78.83, 0.229; GCA_016282555.1, s__UBA71 sp016282555, 95.0, 78.71, 0.259; GCA_002504495.1, s__UBA71 sp002504495, 95.0, 78.64, 0.23; GCA_017475875.1, s__UBA71 sp017475875, 95.0, 78.61, 0.291; GCA_944321985.1, s__UBA71 sp944321985, 95.0, 78.37, 0.252; GCA_002506175.1, s__UBA71 sp002506175, 95.0, 77.78, 0.228; GCA_015063235.1, s__UBA71 sp015063235, 95.0, 77.48, 0.202	82.37	11	N/A	N/A
GCA_017543945.1_ASM1754394v1_genomic	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__	N/A	N/A	N/A	N/A	N/A	GCA_015063165.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp015063165	84.18	0.663	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__	taxonomic classification defined by topology and ANI	N/A	GCA_017540825.1, s__UBA71 sp017540825, 95.0, 83.41, 0.646; GCA_017519045.1, s__UBA71 sp017519045, 95.0, 81.61, 0.486; GCA_017616575.1, s__UBA71 sp017616575, 95.0, 80.3, 0.53; GCA_016281925.1, s__UBA71 sp016281925, 95.0, 79.11, 0.413; GCA_944322255.1, s__UBA71 sp944322255, 95.0, 79.1, 0.316; GCA_017461225.1, s__UBA71 sp017461225, 95.0, 78.86, 0.389; GCA_945492685.1, s__UBA71 sp945492685, 95.0, 78.8, 0.383; GCA_009911715.1, s__UBA71 sp006954425, 95.0, 78.8, 0.313; GCA_944320485.1, s__UBA71 sp944320485, 95.0, 78.66, 0.348; GCA_015063135.1, s__UBA71 sp015063135, 95.0, 78.55, 0.31; GCA_016296195.1, s__UBA71 sp016296195, 95.0, 78.43, 0.317; GCA_905187815.1, s__UBA71 sp905187815, 95.0, 78.43, 0.318; GCA_944320495.1, s__UBA71 sp944320495, 95.0, 78.39, 0.287; GCA_002504405.1, s__UBA71 sp002504405, 95.0, 78.38, 0.309; GCA_017524805.1, s__UBA71 sp017524805, 95.0, 78.36, 0.337; GCA_017507885.1, s__UBA71 sp017507885, 95.0, 78.15, 0.307; GCA_001563305.1, s__UBA71 sp001563305, 95.0, 78.08, 0.29; GCA_017935945.1, s__UBA71 sp017935945, 95.0, 78.03, 0.244; GCA_006954465.1, s__UBA71 sp006954465, 95.0, 78.03, 0.292; GCA_002506425.1, s__UBA71 sp002506425, 95.0, 78.01, 0.268; GCA_900767505.1, s__UBA71 sp900767505, 95.0, 77.96, 0.316; GCA_944321985.1, s__UBA71 sp944321985, 95.0, 77.94, 0.27; GCA_934702355.1, s__UBA71 sp934702355, 95.0, 77.84, 0.282; GCA_016284295.1, s__UBA71 sp016284295, 95.0, 77.8, 0.267; GCA_015063245.1, s__UBA71 sp015063245, 95.0, 77.74, 0.269; GCA_017475875.1, s__UBA71 sp017475875, 95.0, 77.68, 0.297; GCA_015063125.1, s__UBA71 sp015063125, 95.0, 77.65, 0.229; GCA_002504495.1, s__UBA71 sp002504495, 95.0, 77.44, 0.236; GCA_017468935.1, s__UBA71 sp017468935, 95.0, 77.43, 0.157; GCA_016282555.1, s__UBA71 sp016282555, 95.0, 77.19, 0.267	44.01	11	0.98686	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GCA_017609145.1_ASM1760914v1_genomic	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__QMZP01;f__QMZP01;g__JAFCEM01;s__JAFCEM01 sp017609145	GCA_017609145.1	95.0	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__QMZP01;f__QMZP01;g__JAFCEM01;s__JAFCEM01 sp017609145	100.0	0.986	GCA_017609145.1	95.0	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__QMZP01;f__QMZP01;g__JAFCEM01;s__JAFCEM01 sp017609145	100.0	0.986	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__QMZP01;f__QMZP01;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	72.68	11	N/A	N/A
GCA_017627095.1_ASM1762709v1_genomic	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp015063125	GCA_015063125.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp015063125	97.58	0.968	GCA_015063125.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp015063125	97.58	0.968	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_016284295.1, s__UBA71 sp016284295, 95.0, 82.79, 0.702; GCA_015063285.1, s__UBA71 sp015063285, 95.0, 82.53, 0.677; GCA_001563305.1, s__UBA71 sp001563305, 95.0, 82.42, 0.71; GCA_015063245.1, s__UBA71 sp015063245, 95.0, 82.23, 0.629; GCA_017468935.1, s__UBA71 sp017468935, 95.0, 82.01, 0.677; GCA_015063235.1, s__UBA71 sp015063235, 95.0, 80.3, 0.532; GCA_017461225.1, s__UBA71 sp017461225, 95.0, 79.94, 0.46; GCA_944322255.1, s__UBA71 sp944322255, 95.0, 79.69, 0.435; GCA_945492685.1, s__UBA71 sp945492685, 95.0, 79.69, 0.242; GCA_015063135.1, s__UBA71 sp015063135, 95.0, 79.64, 0.403; GCA_016296195.1, s__UBA71 sp016296195, 95.0, 79.63, 0.379; GCA_944320485.1, s__UBA71 sp944320485, 95.0, 79.32, 0.331; GCA_002504405.1, s__UBA71 sp002504405, 95.0, 79.32, 0.323; GCA_934702355.1, s__UBA71 sp934702355, 95.0, 79.29, 0.403; GCA_009911715.1, s__UBA71 sp006954425, 95.0, 79.25, 0.435; GCA_002506175.1, s__UBA71 sp002506175, 95.0, 79.2, 0.427; GCA_905187815.1, s__UBA71 sp905187815, 95.0, 79.17, 0.387; GCA_017507885.1, s__UBA71 sp017507885, 95.0, 78.98, 0.379; GCA_017935945.1, s__UBA71 sp017935945, 95.0, 78.93, 0.347; GCA_015063165.1, s__UBA71 sp015063165, 95.0, 78.81, 0.379; GCA_944321985.1, s__UBA71 sp944321985, 95.0, 78.58, 0.234; GCA_944320495.1, s__UBA71 sp944320495, 95.0, 78.52, 0.339; GCA_900767505.1, s__UBA71 sp900767505, 95.0, 78.52, 0.331; GCA_002504495.1, s__UBA71 sp002504495, 95.0, 78.28, 0.274; GCA_017519045.1, s__UBA71 sp017519045, 95.0, 78.27, 0.363; GCA_006954465.1, s__UBA71 sp006954465, 95.0, 78.09, 0.258; GCA_017616575.1, s__UBA71 sp017616575, 95.0, 78.06, 0.218; GCA_002506425.1, s__UBA71 sp002506425, 95.0, 78.04, 0.347; GCA_017540825.1, s__UBA71 sp017540825, 95.0, 78.04, 0.315; GCA_017524805.1, s__UBA71 sp017524805, 95.0, 77.74, 0.258; GCA_017475875.1, s__UBA71 sp017475875, 95.0, 77.73, 0.21; GCA_016281925.1, s__UBA71 sp016281925, 95.0, 77.59, 0.202; GCA_016282555.1, s__UBA71 sp016282555, 95.0, 76.67, 0.054	36.48	11	N/A	N/A
GCA_017628295.1_ASM1762829v1_genomic	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__SIG5;s__	N/A	N/A	N/A	N/A	N/A	GCA_017508065.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__SIG5;s__SIG5 sp017508065	89.93	0.887	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__SIG5;s__	taxonomic classification defined by topology and ANI	N/A	GCA_015063185.1, s__SIG5 sp015063185, 95.0, 83.73, 0.744; GCA_016297775.1, s__SIG5 sp016297775, 95.0, 82.43, 0.684; GCA_017395275.1, s__SIG5 sp017395275, 95.0, 80.15, 0.398; GCA_015063195.1, s__SIG5 sp015063195, 95.0, 79.48, 0.293; GCA_944321505.1, s__SIG5 sp944321505, 95.0, 78.26, 0.323	70.35	11	0.99253	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GCA_017857595.1_ASM1785759v1_genomic	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Gearchaeales;f__Gearchaeaceae;g__AAA261-N23;s__AAA261-N23 sp017857595	GCA_017857595.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Gearchaeales;f__Gearchaeaceae;g__AAA261-N23;s__AAA261-N23 sp017857595	100.0	0.993	GCA_017857595.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Gearchaeales;f__Gearchaeaceae;g__AAA261-N23;s__AAA261-N23 sp017857595	100.0	0.993	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Gearchaeales;f__Gearchaeaceae;g__AAA261-N23;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_000375685.1, s__AAA261-N23 sp000375685, 95.0, 79.61, 0.211	95.12	11	N/A	N/A
GCA_017885655.1_ASM1788565v1_genomic	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__JAFNFQ01;g__JAFNFQ01;s__JAFNFQ01 sp017885655	GCA_017885655.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__JAFNFQ01;g__JAFNFQ01;s__JAFNFQ01 sp017885655	100.0	0.991	GCA_017885655.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__JAFNFQ01;g__JAFNFQ01;s__JAFNFQ01 sp017885655	100.0	0.991	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	90.6	11	N/A	N/A
GCA_017964945.1_ASM1796494v1_genomic	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__	N/A	N/A	N/A	N/A	N/A	GCA_015063285.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp015063285	87.39	0.734	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__	taxonomic classification defined by topology and ANI	N/A	GCA_015063125.1, s__UBA71 sp015063125, 95.0, 83.01, 0.555; GCA_017468935.1, s__UBA71 sp017468935, 95.0, 82.85, 0.552; GCA_001563305.1, s__UBA71 sp001563305, 95.0, 82.66, 0.511; GCA_016284295.1, s__UBA71 sp016284295, 95.0, 82.24, 0.552; GCA_015063245.1, s__UBA71 sp015063245, 95.0, 82.02, 0.53; GCA_015063235.1, s__UBA71 sp015063235, 95.0, 80.48, 0.458; GCA_002506175.1, s__UBA71 sp002506175, 95.0, 79.9, 0.285; GCA_016296195.1, s__UBA71 sp016296195, 95.0, 79.61, 0.276; GCA_017935945.1, s__UBA71 sp017935945, 95.0, 79.57, 0.285; GCA_934702355.1, s__UBA71 sp934702355, 95.0, 79.57, 0.292; GCA_009911715.1, s__UBA71 sp006954425, 95.0, 79.52, 0.301; GCA_905187815.1, s__UBA71 sp905187815, 95.0, 79.34, 0.282; GCA_017507885.1, s__UBA71 sp017507885, 95.0, 79.3, 0.241; GCA_017461225.1, s__UBA71 sp017461225, 95.0, 79.28, 0.326; GCA_002504405.1, s__UBA71 sp002504405, 95.0, 79.19, 0.248; GCA_944322255.1, s__UBA71 sp944322255, 95.0, 78.98, 0.282; GCA_900767505.1, s__UBA71 sp900767505, 95.0, 78.98, 0.229; GCA_002506425.1, s__UBA71 sp002506425, 95.0, 78.94, 0.257; GCA_015063135.1, s__UBA71 sp015063135, 95.0, 78.8, 0.313; GCA_015063165.1, s__UBA71 sp015063165, 95.0, 78.77, 0.301; GCA_945492685.1, s__UBA71 sp945492685, 95.0, 78.44, 0.229; GCA_944320495.1, s__UBA71 sp944320495, 95.0, 78.41, 0.238; GCA_017519045.1, s__UBA71 sp017519045, 95.0, 78.12, 0.254; GCA_017540825.1, s__UBA71 sp017540825, 95.0, 78.04, 0.241; GCA_944320485.1, s__UBA71 sp944320485, 95.0, 78.01, 0.263; GCA_017524805.1, s__UBA71 sp017524805, 95.0, 77.8, 0.107; GCA_944321985.1, s__UBA71 sp944321985, 95.0, 76.97, 0.127	65.2	11	0.99696	Genome has more than 11.3% of markers with multiple hits;Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GCA_018238155.1_ASM1823815v1_genomic	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp018238155	GCA_018238155.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp018238155	100.0	0.998	GCA_018238155.1	95.0	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__JABLTI01 sp018238155	100.0	0.998	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	87.43	11	N/A	N/A
GCA_018302415.1_ASM1830241v1_genomic	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR9;g__GW2011-AR9;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR9;g__;s__	taxonomic novelty determined using RED	N/A	N/A	57.71	11	0.88353	N/A
GCA_018302985.1_ASM1830298v1_genomic	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__UBA489;g__JACOVP01;s__JACOVP01 sp018302985	GCA_018302985.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__UBA489;g__JACOVP01;s__JACOVP01 sp018302985	100.0	0.985	GCA_018302985.1	95.0	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__UBA489;g__JACOVP01;s__JACOVP01 sp018302985	100.0	0.985	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__UBA489;g__JACOVP01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	86.89	11	N/A	N/A
