"env","genome_name","n_crispr","n_cas","n_spacer","n_cas_protein","n_crispr_level4"
"skin_mag","SAMPLE_1364_bin_7",5,0,5,0,0
"skin_mag","SAMPLE_1364_bin_8",0,0,0,0,0
"skin_mag","SAMPLE_1365_bin_1",2,0,2,0,0
"skin_mag","SAMPLE_1365_bin_10",5,2,29,14,2
"skin_mag","SAMPLE_1365_bin_2",1,0,1,0,0
"skin_mag","SAMPLE_1365_bin_3",1,0,1,0,0
"skin_mag","SAMPLE_1365_bin_4",7,2,56,3,1
"skin_mag","SAMPLE_1365_bin_7",0,0,0,0,0
"skin_mag","SAMPLE_1365_bin_8",11,1,12,1,0
"skin_mag","SAMPLE_1365_bin_9",0,0,0,0,0
"skin_mag","SAMPLE_1366_bin_2",3,2,6,3,1
"skin_mag","SAMPLE_1366_bin_3",10,0,10,0,0
"skin_mag","SAMPLE_1366_bin_4",1,0,1,0,0
"skin_mag","SAMPLE_1366_bin_6",4,2,53,3,2
"skin_mag","SAMPLE_1366_bin_8",0,0,0,0,0
"skin_mag","SAMPLE_1366_bin_9",1,0,1,0,0
"skin_mag","SAMPLE_1367_bin_10",2,0,2,0,0
"skin_mag","SAMPLE_1367_bin_2",10,0,11,0,0
"skin_mag","SAMPLE_1367_bin_3",1,1,13,3,1
"skin_mag","SAMPLE_1367_bin_4",1,0,1,0,0
"skin_mag","SAMPLE_1367_bin_6",0,0,0,0,0
"skin_mag","SAMPLE_1367_bin_7",3,2,34,3,1
"skin_mag","SAMPLE_1367_bin_8",2,0,2,0,0
"skin_mag","SAMPLE_1367_bin_9",2,2,26,14,2
"skin_mag","SAMPLE_1368_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1368_bin_2",1,0,1,0,0
"skin_mag","SAMPLE_1368_bin_3",3,0,5,0,0
"skin_mag","SAMPLE_1369_bin_1",2,0,3,0,0
"skin_mag","SAMPLE_1369_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1369_bin_3",3,0,5,0,0
"skin_mag","SAMPLE_137_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_137_bin_2",8,1,9,1,0
"skin_mag","SAMPLE_137_bin_3",1,0,1,0,0
"skin_mag","SAMPLE_1370_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1370_bin_2",2,0,2,0,0
"skin_mag","SAMPLE_1371_bin_1",2,0,2,0,0
"skin_mag","SAMPLE_1371_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1372_bin_1",3,2,10,12,1
"skin_mag","SAMPLE_1373_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1374_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1375_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1376_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1377_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1378_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1379_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1379_bin_2",5,0,6,0,0
"skin_mag","SAMPLE_138_bin_2",1,0,2,0,0
"skin_mag","SAMPLE_138_bin_3",4,0,4,0,0
"skin_mag","SAMPLE_138_bin_4",6,0,6,0,0
"skin_mag","SAMPLE_138_bin_6",0,0,0,0,0
"skin_mag","SAMPLE_1380_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1381_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1382_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1383_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1384_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1385_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1386_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1387_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1388_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1389_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_139_bin_1",3,0,5,0,0
"skin_mag","SAMPLE_139_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_139_bin_3",1,2,33,14,1
"skin_mag","SAMPLE_139_bin_4",2,0,2,0,0
"skin_mag","SAMPLE_1390_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1391_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1392_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1393_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1394_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1395_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1396_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1397_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1398_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1399_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_14_bin_1",2,0,2,0,0
"skin_mag","SAMPLE_14_bin_10",0,0,0,0,0
"skin_mag","SAMPLE_14_bin_11",2,0,2,0,0
"skin_mag","SAMPLE_14_bin_12",1,0,1,0,0
"skin_mag","SAMPLE_14_bin_2",3,0,3,0,0
"skin_mag","SAMPLE_14_bin_3",1,0,1,0,0
"skin_mag","SAMPLE_14_bin_4",0,0,0,0,0
"skin_mag","SAMPLE_14_bin_5",3,0,3,0,0
"skin_mag","SAMPLE_14_bin_6",0,0,0,0,0
"skin_mag","SAMPLE_14_bin_7",5,1,5,1,0
"skin_mag","SAMPLE_14_bin_8",0,0,0,0,0
"skin_mag","SAMPLE_140_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1400_bin_1",2,0,2,0,0
"skin_mag","SAMPLE_1401_bin_1",3,2,3,3,0
"skin_mag","SAMPLE_1402_bin_1",2,2,13,3,1
"skin_mag","SAMPLE_1403_bin_1",2,2,10,3,1
"skin_mag","SAMPLE_1404_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1405_bin_1",3,2,8,3,0
"skin_mag","SAMPLE_1406_bin_1",2,2,13,3,1
"skin_mag","SAMPLE_1407_bin_1",3,1,35,4,0
"skin_mag","SAMPLE_1408_bin_1",3,1,35,4,0
"skin_mag","SAMPLE_1409_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_141_bin_2",2,0,2,0,0
"skin_mag","SAMPLE_141_bin_3",0,0,0,0,0
"skin_mag","SAMPLE_141_bin_4",1,0,1,0,0
"skin_mag","SAMPLE_1410_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1411_bin_1",1,0,6,0,1
"skin_mag","SAMPLE_1412_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1413_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1414_bin_1",1,0,2,0,0
"skin_mag","SAMPLE_1415_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1415_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1416_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1417_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1418_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1418_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1419_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1419_bin_2",1,0,1,0,0
"skin_mag","SAMPLE_142_bin_1",1,2,56,12,1
"skin_mag","SAMPLE_142_bin_10",1,0,1,0,0
"skin_mag","SAMPLE_142_bin_2",11,1,14,1,0
"skin_mag","SAMPLE_142_bin_4",5,4,39,17,1
"skin_mag","SAMPLE_142_bin_5",1,0,1,0,0
"skin_mag","SAMPLE_142_bin_6",0,0,0,0,0
"skin_mag","SAMPLE_142_bin_7",0,0,0,0,0
"skin_mag","SAMPLE_142_bin_8",3,0,3,0,0
"skin_mag","SAMPLE_142_bin_9",0,0,0,0,0
"skin_mag","SAMPLE_1420_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1421_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1421_bin_2",1,0,1,0,0
"skin_mag","SAMPLE_1422_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1423_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1424_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1425_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1425_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1426_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1427_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1428_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1429_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1429_bin_2",3,0,3,0,0
"skin_mag","SAMPLE_143_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_143_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_143_bin_3",1,0,1,0,0
"skin_mag","SAMPLE_143_bin_4",11,0,12,0,0
"skin_mag","SAMPLE_1430_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1431_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1431_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1431_bin_3",1,0,1,0,0
"skin_mag","SAMPLE_1432_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1433_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1434_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1435_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1436_bin_1",2,0,2,0,0
"skin_mag","SAMPLE_1437_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1437_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1438_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1439_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_144_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_144_bin_3",0,0,0,0,0
"skin_mag","SAMPLE_144_bin_6",0,0,0,0,0
"skin_mag","SAMPLE_144_bin_7",0,0,0,0,0
"skin_mag","SAMPLE_1440_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1441_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1442_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1442_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1443_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1444_bin_1",5,0,5,0,0
"skin_mag","SAMPLE_1445_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1446_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1447_bin_1",1,1,1,1,0
"skin_mag","SAMPLE_1448_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1449_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_145_bin_1",7,3,33,15,1
"skin_mag","SAMPLE_1450_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1451_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1451_bin_2",1,0,1,0,0
"skin_mag","SAMPLE_1452_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1453_bin_1",2,2,5,12,0
"skin_mag","SAMPLE_1454_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1455_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1456_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1457_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1458_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1459_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_146_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_146_bin_5",3,0,4,0,0
"skin_mag","SAMPLE_1460_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1461_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1462_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1463_bin_2",1,0,1,0,0
"skin_mag","SAMPLE_1464_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1465_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1466_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1467_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1468_bin_2",5,1,16,2,1
"skin_mag","SAMPLE_1469_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_147_bin_1",1,2,1,5,0
"skin_mag","SAMPLE_147_bin_2",4,2,5,12,0
"skin_mag","SAMPLE_1471_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1472_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1473_bin_1",1,1,1,1,0
"skin_mag","SAMPLE_1473_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1475_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1475_bin_2",8,0,8,0,0
"skin_mag","SAMPLE_1476_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1477_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1478_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1478_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1479_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_148_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_148_bin_2",1,0,1,0,0
"skin_mag","SAMPLE_1480_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1480_bin_2",1,0,1,0,0
"skin_mag","SAMPLE_1481_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1482_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1482_bin_2",2,0,2,0,0
"skin_mag","SAMPLE_1483_bin_1",4,0,83,0,1
"skin_mag","SAMPLE_1483_bin_2",1,0,1,0,0
"skin_mag","SAMPLE_1484_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1485_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1486_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1487_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1487_bin_2",1,0,1,0,0
"skin_mag","SAMPLE_1487_bin_3",0,0,0,0,0
"skin_mag","SAMPLE_1488_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1489_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_149_bin_1",4,0,38,0,1
"skin_mag","SAMPLE_149_bin_12",2,0,2,0,0
"skin_mag","SAMPLE_149_bin_13",2,0,4,0,0
"skin_mag","SAMPLE_149_bin_14",1,0,1,0,0
"skin_mag","SAMPLE_149_bin_16",1,3,9,6,1
"skin_mag","SAMPLE_149_bin_17",8,2,8,2,0
"skin_mag","SAMPLE_149_bin_18",0,0,0,0,0
"skin_mag","SAMPLE_149_bin_19",0,0,0,0,0
"skin_mag","SAMPLE_149_bin_20",0,0,0,0,0
"skin_mag","SAMPLE_149_bin_21",2,0,2,0,0
"skin_mag","SAMPLE_149_bin_22",4,0,5,0,0
"skin_mag","SAMPLE_149_bin_23",0,0,0,0,0
"skin_mag","SAMPLE_149_bin_24",2,3,35,7,2
"skin_mag","SAMPLE_149_bin_25",5,1,7,1,0
"skin_mag","SAMPLE_149_bin_27",3,0,19,0,2
"skin_mag","SAMPLE_149_bin_29",6,0,8,0,0
"skin_mag","SAMPLE_149_bin_3",1,0,1,0,0
"skin_mag","SAMPLE_149_bin_32",1,0,1,0,0
"skin_mag","SAMPLE_149_bin_33",4,0,13,0,1
"skin_mag","SAMPLE_149_bin_34",5,0,7,0,0
"skin_mag","SAMPLE_149_bin_35",10,2,50,14,2
"skin_mag","SAMPLE_149_bin_36",1,0,1,0,0
"skin_mag","SAMPLE_149_bin_37",1,0,1,0,0
"skin_mag","SAMPLE_149_bin_38",1,1,7,1,1
"skin_mag","SAMPLE_149_bin_4",7,0,8,0,0
"skin_mag","SAMPLE_149_bin_5",5,0,5,0,0
"skin_mag","SAMPLE_149_bin_6",7,3,59,6,5
"skin_mag","SAMPLE_149_bin_7",5,4,42,7,2
"skin_mag","SAMPLE_149_bin_8",1,0,1,0,0
"skin_mag","SAMPLE_149_bin_9",9,0,9,0,0
"skin_mag","SAMPLE_1490_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1490_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1490_bin_3",2,3,26,15,1
"skin_mag","SAMPLE_1490_bin_4",4,2,56,14,2
"skin_mag","SAMPLE_1491_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1491_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1492_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1492_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1493_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1494_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1495_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1495_bin_2",5,0,5,0,0
"skin_mag","SAMPLE_1496_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1497_bin_1",5,0,7,0,0
"skin_mag","SAMPLE_1497_bin_2",1,0,1,0,0
"skin_mag","SAMPLE_1498_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1499_bin_1",1,1,10,1,1
"skin_mag","SAMPLE_1499_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1499_bin_3",3,2,4,14,0
"skin_mag","SAMPLE_15_bin_2",3,0,3,0,0
"skin_mag","SAMPLE_15_bin_3",8,0,8,0,0
"skin_mag","SAMPLE_150_bin_1",2,3,6,6,1
"skin_mag","SAMPLE_150_bin_10",6,3,46,7,1
"skin_mag","SAMPLE_150_bin_11",4,0,4,0,0
"skin_mag","SAMPLE_150_bin_12",3,2,42,15,0
"skin_mag","SAMPLE_150_bin_14",2,0,2,0,0
"skin_mag","SAMPLE_150_bin_3",1,0,1,0,0
"skin_mag","SAMPLE_150_bin_4",2,0,2,0,0
"skin_mag","SAMPLE_150_bin_5",4,1,6,1,0
"skin_mag","SAMPLE_150_bin_7",2,0,44,0,2
"skin_mag","SAMPLE_150_bin_8",3,1,75,6,3
"skin_mag","SAMPLE_1500_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1500_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1501_bin_1",4,0,4,0,0
"skin_mag","SAMPLE_1502_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1502_bin_2",2,1,2,1,0
"skin_mag","SAMPLE_1502_bin_4",6,3,44,7,1
"skin_mag","SAMPLE_1503_bin_2",2,0,8,0,0
"skin_mag","SAMPLE_1503_bin_3",2,0,2,0,0
"skin_mag","SAMPLE_1504_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1504_bin_2",1,0,1,0,0
"skin_mag","SAMPLE_1505_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1506_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1507_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1507_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1508_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1509_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_151_bin_1",8,0,11,0,0
"skin_mag","SAMPLE_151_bin_2",1,0,1,0,0
"skin_mag","SAMPLE_151_bin_3",3,0,3,0,0
"skin_mag","SAMPLE_151_bin_4",0,0,0,0,0
"skin_mag","SAMPLE_1510_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1511_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1512_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1513_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1514_bin_1",2,0,6,0,1
"skin_mag","SAMPLE_1515_bin_1",3,1,31,1,1
"skin_mag","SAMPLE_1515_bin_2",10,0,10,0,0
"skin_mag","SAMPLE_1515_bin_3",0,0,0,0,0
"skin_mag","SAMPLE_1515_bin_4",2,1,4,1,0
"skin_mag","SAMPLE_1515_bin_5",1,0,1,0,0
"skin_mag","SAMPLE_1516_bin_1",3,2,21,14,1
"skin_mag","SAMPLE_1516_bin_2",1,0,1,0,0
"skin_mag","SAMPLE_1516_bin_3",4,2,55,14,2
"skin_mag","SAMPLE_1517_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1518_bin_1",3,4,39,17,2
"skin_mag","SAMPLE_1518_bin_2",2,2,3,14,0
"skin_mag","SAMPLE_1518_bin_3",1,0,1,0,0
"skin_mag","SAMPLE_1519_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1519_bin_3",5,1,24,2,1
"skin_mag","SAMPLE_152_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1520_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1521_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1522_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1522_bin_2",7,3,64,13,1
"skin_mag","SAMPLE_1522_bin_3",4,1,60,1,1
"skin_mag","SAMPLE_1523_bin_1",2,0,2,0,0
"skin_mag","SAMPLE_1524_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1525_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1525_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1526_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1526_bin_2",1,0,1,0,0
"skin_mag","SAMPLE_1527_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1527_bin_2",4,3,4,3,0
"skin_mag","SAMPLE_1527_bin_3",1,0,1,0,0
"skin_mag","SAMPLE_1527_bin_4",1,0,1,0,0
"skin_mag","SAMPLE_1528_bin_2",1,0,1,0,0
"skin_mag","SAMPLE_1529_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_153_bin_1",8,2,9,2,0
"skin_mag","SAMPLE_153_bin_3",0,0,0,0,0
"skin_mag","SAMPLE_1530_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1531_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1531_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1532_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1533_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1534_bin_2",1,0,1,0,0
"skin_mag","SAMPLE_1535_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1536_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1537_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1538_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1538_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1539_bin_1",2,0,2,0,0
"skin_mag","SAMPLE_154_bin_1",2,0,2,0,0
"skin_mag","SAMPLE_154_bin_10",3,3,17,8,1
"skin_mag","SAMPLE_154_bin_11",1,0,1,0,0
"skin_mag","SAMPLE_154_bin_13",2,0,8,0,0
"skin_mag","SAMPLE_154_bin_14",0,0,0,0,0
"skin_mag","SAMPLE_154_bin_15",1,0,2,0,0
"skin_mag","SAMPLE_154_bin_17",0,0,0,0,0
"skin_mag","SAMPLE_154_bin_18",3,2,19,6,1
"skin_mag","SAMPLE_154_bin_19",4,2,17,5,1
"skin_mag","SAMPLE_154_bin_2",3,0,9,0,0
"skin_mag","SAMPLE_154_bin_20",3,0,3,0,0
"skin_mag","SAMPLE_154_bin_21",6,2,89,10,1
"skin_mag","SAMPLE_154_bin_23",2,2,22,5,1
"skin_mag","SAMPLE_154_bin_24",0,0,0,0,0
"skin_mag","SAMPLE_154_bin_26",3,1,13,1,1
"skin_mag","SAMPLE_154_bin_28",5,3,25,5,1
"skin_mag","SAMPLE_154_bin_29",2,0,2,0,0
"skin_mag","SAMPLE_154_bin_3",2,2,5,12,0
"skin_mag","SAMPLE_154_bin_32",6,7,61,12,3
"skin_mag","SAMPLE_154_bin_34",3,2,6,5,1
"skin_mag","SAMPLE_154_bin_35",1,0,1,0,0
"skin_mag","SAMPLE_154_bin_37",1,0,1,0,0
"skin_mag","SAMPLE_154_bin_39",6,1,10,1,0
"skin_mag","SAMPLE_154_bin_4",7,4,67,10,2
"skin_mag","SAMPLE_154_bin_40",0,0,0,0,0
"skin_mag","SAMPLE_154_bin_41",4,0,4,0,0
"skin_mag","SAMPLE_154_bin_43",0,0,0,0,0
"skin_mag","SAMPLE_154_bin_45",8,4,30,8,1
"skin_mag","SAMPLE_154_bin_46",1,0,1,0,0
"skin_mag","SAMPLE_154_bin_48",3,1,17,7,1
"skin_mag","SAMPLE_154_bin_49",9,8,159,29,6
"skin_mag","SAMPLE_154_bin_50",0,0,0,0,0
"skin_mag","SAMPLE_154_bin_6",1,0,1,0,0
"skin_mag","SAMPLE_154_bin_8",4,1,23,1,2
"skin_mag","SAMPLE_154_bin_9",1,2,30,12,1
"skin_mag","SAMPLE_1540_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1541_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1541_bin_2",1,0,1,0,0
"skin_mag","SAMPLE_1542_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1542_bin_2",1,0,1,0,0
"skin_mag","SAMPLE_1543_bin_1",2,0,2,0,0
"skin_mag","SAMPLE_1543_bin_2",1,0,1,0,0
"skin_mag","SAMPLE_1544_bin_1",1,0,1,0,0
"skin_mag","SAMPLE_1545_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1546_bin_1",5,0,9,0,0
"skin_mag","SAMPLE_1546_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1547_bin_1",2,0,2,0,0
"skin_mag","SAMPLE_1547_bin_2",1,0,1,0,0
"skin_mag","SAMPLE_1548_bin_1",3,2,47,14,1
"skin_mag","SAMPLE_1548_bin_10",6,0,7,0,0
"skin_mag","SAMPLE_1548_bin_11",4,2,41,3,4
"skin_mag","SAMPLE_1548_bin_12",6,2,54,14,1
"skin_mag","SAMPLE_1548_bin_13",2,0,2,0,0
"skin_mag","SAMPLE_1548_bin_2",5,6,48,10,3
"skin_mag","SAMPLE_1548_bin_3",3,0,3,0,0
"skin_mag","SAMPLE_1548_bin_4",2,0,22,0,1
"skin_mag","SAMPLE_1548_bin_5",10,2,44,10,2
"skin_mag","SAMPLE_1548_bin_7",6,2,11,2,0
"skin_mag","SAMPLE_1548_bin_8",0,0,0,0,0
"skin_mag","SAMPLE_1548_bin_9",7,0,10,0,0
"skin_mag","SAMPLE_1549_bin_1",7,2,9,5,0
"skin_mag","SAMPLE_155_bin_1",5,1,8,1,0
"skin_mag","SAMPLE_155_bin_11",5,1,6,1,0
"skin_mag","SAMPLE_155_bin_12",0,0,0,0,0
"skin_mag","SAMPLE_155_bin_2",2,0,2,0,0
"skin_mag","SAMPLE_155_bin_3",0,0,0,0,0
"skin_mag","SAMPLE_155_bin_6",8,0,8,0,0
"skin_mag","SAMPLE_155_bin_7",2,0,2,0,0
"skin_mag","SAMPLE_155_bin_8",0,0,0,0,0
"skin_mag","SAMPLE_155_bin_9",1,0,1,0,0
"skin_mag","SAMPLE_1550_bin_2",0,0,0,0,0
"skin_mag","SAMPLE_1551_bin_1",0,0,0,0,0
"skin_mag","SAMPLE_1552_bin_1",5,0,5,0,0
"skin_mag","SAMPLE_1552_bin_2",5,1,40,1,2
"skin_mag","SAMPLE_1552_bin_3",1,0,1,0,0
"skin_mag","SAMPLE_1552_bin_4",7,0,7,0,0
"skin_mag","SAMPLE_1552_bin_5",1,0,1,0,0
"skin_mag","SAMPLE_1552_bin_6",4,2,18,5,1
"skin_mag","SAMPLE_1552_bin_7",0,0,0,0,0
"skin_mag","SAMPLE_1553_bin_1",7,6,92,11,2
"skin_mag","SAMPLE_1553_bin_2",2,0,3,0,0
"skin_mag","SAMPLE_1553_bin_3",2,0,2,0,0
"skin_mag","SAMPLE_1553_bin_4",4,1,4,2,0
"skin_mag","SAMPLE_1553_bin_5",3,4,38,7,2
"skin_mag","SAMPLE_1553_bin_6",0,0,0,0,0
"skin_mag","SAMPLE_1553_bin_7",0,0,0,0,0
"skin_mag","SAMPLE_1553_bin_8",2,0,2,0,0
"skin_mag","SAMPLE_1554_bin_1",1,0,1,0,0
