"genome_name","n_crispr","n_cas","n_spacer","n_cas_protein","n_crispr_level4"
"GCA_018822225.1_ASM1882222v1_genomic.fna",5,1,5,1,0
"GCA_018920345.1_ASM1892034v1_genomic.fna",3,0,31,0,1
"GCA_019057555.1_ASM1905755v1_genomic.fna",0,0,0,0,0
"GCA_019323255.1_ASM1932325v1_genomic.fna",1,0,1,0,0
"GCA_020697515.1_ASM2069751v1_genomic.fna",1,0,8,0,1
"GCA_021159125.1_ASM2115912v1_genomic.fna",3,1,3,1,0
"GCA_021159385.1_ASM2115938v1_genomic.fna",9,0,13,0,0
"GCA_021325595.1_ASM2132559v1_genomic.fna",4,2,13,8,1
"GCA_021786575.1_ASM2178657v1_genomic.fna",0,0,0,0,0
"GCA_021792315.1_ASM2179231v1_genomic.fna",0,0,0,0,0
"GCA_021797955.1_ASM2179795v1_genomic.fna",2,3,13,8,1
"GCA_021802105.1_ASM2180210v1_genomic.fna",1,0,9,0,0
"GCA_021802125.1_ASM2180212v1_genomic.fna",1,0,17,0,1
"GCA_021818675.1_ASM2181867v1_genomic.fna",1,1,1,1,0
"GCA_021830875.1_ASM2183087v1_genomic.fna",0,0,0,0,0
"GCA_021832265.1_ASM2183226v1_genomic.fna",1,0,3,0,0
"GCA_021835325.1_ASM2183532v1_genomic.fna",0,0,0,0,0
"GCA_022759185.1_ASM2275918v1_genomic.fna",1,0,2,0,0
"GCA_023128965.1_ASM2312896v1_genomic.fna",0,0,0,0,0
"GCA_023140195.1_ASM2314019v1_genomic.fna",6,0,10,0,0
"GCA_023256455.1_ASM2325645v1_genomic.fna",0,0,0,0,0
"GCA_023379055.1_ASM2337905v1_genomic.fna",1,0,1,0,0
"GCA_023381415.1_ASM2338141v1_genomic.fna",0,0,0,0,0
"GCA_023484965.1_ASM2348496v1_genomic.fna",1,0,1,0,0
"GCA_023489265.1_ASM2348926v1_genomic.fna",1,3,7,8,1
"GCA_023539395.1_ASM2353939v1_genomic.fna",1,0,2,0,0
"GCA_023544495.1_ASM2354449v1_genomic.fna",38,0,280,0,27
"GCA_024239095.1_ASM2423909v1_genomic.fna",4,0,46,0,1
"GCA_025920375.1_ASM2592037v1_genomic.fna",0,0,0,0,0
"GCA_025923775.1_ASM2592377v1_genomic.fna",6,0,6,0,0
"GCA_026015005.1_ASM2601500v1_genomic.fna",0,0,0,0,0
"GCA_026414105.1_ASM2641410v1_genomic.fna",3,0,37,0,3
"GCA_026627405.1_ASM2662740v1_genomic.fna",0,0,0,0,0
"GCA_026986905.1_ASM2698690v1_genomic.fna",0,0,0,0,0
"GCA_026986935.1_ASM2698693v1_genomic.fna",0,0,0,0,0
"GCA_026998005.1_ASM2699800v1_genomic.fna",3,0,57,0,3
"GCA_027029365.1_ASM2702936v1_genomic.fna",2,0,2,0,0
"GCA_027035585.1_ASM2703558v1_genomic.fna",0,0,0,0,0
"GCA_027057815.1_ASM2705781v1_genomic.fna",1,0,1,0,0
"GCA_027077325.1_ASM2707732v1_genomic.fna",2,0,4,0,0
"GCA_027077975.1_ASM2707797v1_genomic.fna",3,0,5,0,0
"GCA_027081315.1_ASM2708131v1_genomic.fna",2,0,9,0,1
"GCA_027315705.1_ASM2731570v1_genomic.fna",2,3,7,5,0
"GCA_027331235.1_ASM2733123v1_genomic.fna",1,0,1,0,0
"GCA_027337015.1_ASM2733701v1_genomic.fna",0,0,0,0,0
"GCA_027337605.1_ASM2733760v1_genomic.fna",0,0,0,0,0
"GCA_027363525.1_ASM2736352v1_genomic.fna",0,0,0,0,0
"GCA_027365615.1_ASM2736561v1_genomic.fna",6,3,10,12,1
"GCA_027367535.1_ASM2736753v1_genomic.fna",0,0,0,0,0
"GCA_027367855.1_ASM2736785v1_genomic.fna",0,0,0,0,0
"GCA_027368375.1_ASM2736837v1_genomic.fna",0,0,0,0,0
"GCA_027369925.1_ASM2736992v1_genomic.fna",2,1,8,3,1
"GCA_027375015.1_ASM2737501v1_genomic.fna",0,0,0,0,0
"GCA_027379625.1_ASM2737962v1_genomic.fna",0,0,0,0,0
"GCA_027379845.1_ASM2737984v1_genomic.fna",1,0,1,0,0
"GCA_027381965.1_ASM2738196v1_genomic.fna",2,0,3,0,0
"GCA_900314325.1_Rumen_uncultured_genome_hRUG898_genomic.fna",0,0,0,0,0
"GCA_902628795.1_AH-324-E09_genomic.fna",0,0,0,0,0
"GCA_903894855.1_freshwater_MAG_---_Ja2_bin-1252_genomic.fna",2,0,2,0,0
"GCA_905478235.1_0.2_20180403_Bin_MAXBIN_045_1_genomic.fna",1,0,1,0,0
"GCA_933226995.1_S100_Bin_4_genomic.fna",4,0,5,0,0
"GCA_937889185.1_ERR599008_bin.24_CONCOCT_v1.1_MAG_genomic.fna",1,0,1,0,0
"GCA_937893005.1_SRR1562003_bin.96_CONCOCT_v1.1_MAG_genomic.fna",5,0,71,0,2
"GCA_945914315.1_SRR11489777_bin.70_metaWRAP_v1.3_MAG_genomic.fna",2,0,2,0,0
"GCF_000980105.1_gtlEnvA5udCFS_genomic.fna",12,5,110,16,2
"GCF_003852215.1_ASM385221v1_genomic.fna",11,1,325,4,4
"GCF_009602405.1_ASM960240v1_genomic.fna",2,0,11,0,1
"GCF_016415645.1_ASM1641564v1_genomic.fna",7,2,213,20,2
"GCF_019263745.1_ASM1926374v1_genomic.fna",3,2,40,17,2
"GCF_024228315.1_ASM2422831v1_genomic.fna",12,0,38,0,1
"GCF_026712385.1_ASM2671238v1_genomic.fna",7,0,12,0,0
"GCF_900114835.1_IMG-taxon_2642422540_annotated_assembly_genomic.fna",2,0,2,0,0
"GCA_000306725.1_ASM30672v1_genomic.fna",3,0,3,0,0
"GCA_000404305.1_ASM40430v1_genomic.fna",1,0,1,0,0
"GCA_000416085.1_J07ABselected_genomic.fna",10,0,12,0,0
"GCA_001629255.1_ASM162925v1_genomic.fna",1,0,1,0,0
"GCA_001775965.1_ASM177596v1_genomic.fna",0,0,0,0,0
"GCA_001872185.1_ASM187218v1_genomic.fna",2,0,2,0,0
"GCA_001917995.1_ASM191799v1_genomic.fna",5,1,14,1,0
"GCA_002067665.1_ASM206766v1_genomic.fna",1,0,1,0,0
"GCA_002255065.1_ASM225506v1_genomic.fna",2,1,2,1,0
"GCA_002496095.1_ASM249609v1_genomic.fna",9,3,14,5,0
"GCA_002502285.1_ASM250228v1_genomic.fna",0,0,0,0,0
"GCA_002502385.1_ASM250238v1_genomic.fna",0,0,0,0,0
"GCA_002502625.1_ASM250262v1_genomic.fna",4,0,8,0,0
"GCA_002504505.1_ASM250450v1_genomic.fna",3,2,8,7,1
"GCA_002506405.1_ASM250640v1_genomic.fna",1,0,1,0,0
"GCA_002506915.1_ASM250691v1_genomic.fna",11,2,109,12,2
"GCA_002709705.1_ASM270970v1_genomic.fna",1,0,1,0,0
"GCA_002723635.1_ASM272363v1_genomic.fna",0,0,0,0,0
"GCA_002724175.1_ASM272417v1_genomic.fna",2,0,4,0,0
"GCA_002727275.1_ASM272727v1_genomic.fna",0,0,0,0,0
"GCA_002728155.1_ASM272815v1_genomic.fna",0,0,0,0,0
"GCA_002781385.1_ASM278138v1_genomic.fna",5,1,14,1,0
"GCA_003022685.1_ASM302268v1_genomic.fna",8,0,8,0,0
"GCA_003152955.1_20120700_E3M_genomic.fna",1,0,2,0,0
"GCA_003162115.1_20100900_E2D_genomic.fna",1,0,3,0,0
"GCA_003660665.1_ASM366066v1_genomic.fna",1,0,1,0,0
"GCA_003663385.1_ASM366338v1_genomic.fna",3,0,3,0,0
"GCA_003663415.1_ASM366341v1_genomic.fna",1,0,1,0,0
"GCA_003940385.1_ASM394038v1_genomic.fna",2,0,34,0,1
"GCA_004195655.1_ASM419565v1_genomic.fna",1,0,2,0,0
"GCA_009776625.1_ASM977662v1_genomic.fna",2,0,3,0,0
"GCA_009837825.1_ASM983782v1_genomic.fna",4,0,8,0,0
"GCA_009841175.1_ASM984117v1_genomic.fna",8,0,14,0,0
"GCA_009887265.1_ASM988726v1_genomic.fna",1,0,1,0,0
"GCA_011042075.1_ASM1104207v1_genomic.fna",1,0,1,0,0
"GCA_011042195.1_ASM1104219v1_genomic.fna",0,0,0,0,0
"GCA_012927765.1_ASM1292776v1_genomic.fna",2,3,21,12,2
"GCA_013329805.1_ASM1332980v1_genomic.fna",7,5,124,33,5
"GCA_013330935.1_ASM1333093v1_genomic.fna",0,0,0,0,0
"GCA_013374385.1_ASM1337438v1_genomic.fna",0,0,0,0,0
"GCA_015520775.1_ASM1552077v1_genomic.fna",0,0,0,0,0
"GCA_015521975.1_ASM1552197v1_genomic.fna",0,0,0,0,0
"GCA_015523335.1_ASM1552333v1_genomic.fna",5,2,35,3,4
"GCA_015661855.1_ASM1566185v1_genomic.fna",0,0,0,0,0
"GCA_016181895.1_ASM1618189v1_genomic.fna",0,0,0,0,0
"GCA_016211195.1_ASM1621119v1_genomic.fna",0,0,0,0,0
"GCA_016278385.1_ASM1627838v1_genomic.fna",0,0,0,0,0
"GCA_016839505.1_ASM1683950v1_genomic.fna",3,0,3,0,0
"GCA_016926505.1_ASM1692650v1_genomic.fna",0,0,0,0,0
"GCA_017395275.1_ASM1739527v1_genomic.fna",1,0,1,0,0
"GCA_018221265.1_ASM1822126v1_genomic.fna",1,0,1,0,0
"GCA_018238755.1_ASM1823875v1_genomic.fna",0,0,0,0,0
"GCA_018238765.1_ASM1823876v1_genomic.fna",0,0,0,0,0
"GCA_018303425.1_ASM1830342v1_genomic.fna",1,0,1,0,0
"GCA_018432985.1_SV3_genomic.fna",9,0,46,0,2
"GCA_018671245.1_ASM1867124v1_genomic.fna",1,0,1,0,0
"GCA_018680295.1_ASM1868029v1_genomic.fna",3,0,4,0,0
"GCA_018819225.1_ASM1881922v1_genomic.fna",3,0,14,0,1
"GCA_019654835.1_ASM1965483v1_genomic.fna",0,0,0,0,0
"GCA_020029475.1_ASM2002947v1_genomic.fna",1,0,3,0,0
"GCA_021158125.1_ASM2115812v1_genomic.fna",1,0,26,0,1
"GCA_021163705.1_ASM2116370v1_genomic.fna",2,0,16,0,2
"GCA_021789815.1_ASM2178981v1_genomic.fna",0,0,0,0,0
"GCA_021803655.1_ASM2180365v1_genomic.fna",1,0,1,0,0
"GCA_021817245.1_ASM2181724v1_genomic.fna",2,0,2,0,0
"GCA_021836825.1_ASM2183682v1_genomic.fna",1,0,1,0,0
"GCA_022426025.1_ASM2242602v1_genomic.fna",2,0,6,0,0
"GCA_022750375.1_ASM2275037v1_genomic.fna",0,0,0,0,0
"GCA_022779995.1_ASM2277999v1_genomic.fna",20,4,59,14,2
"GCA_022868405.1_ASM2286840v1_genomic.fna",1,0,1,0,0
"GCA_023008585.1_ASM2300858v1_genomic.fna",5,1,139,7,2
"GCA_023130175.1_ASM2313017v1_genomic.fna",1,0,1,0,0
"GCA_023131555.1_ASM2313155v1_genomic.fna",0,0,0,0,0
"GCA_023142585.1_ASM2314258v1_genomic.fna",0,0,0,0,0
"GCA_023144295.1_ASM2314429v1_genomic.fna",0,0,0,0,0
"GCA_023250695.1_ASM2325069v1_genomic.fna",0,0,0,0,0
"GCA_023268715.1_ASM2326871v1_genomic.fna",0,0,0,0,0
"GCA_023459295.1_ASM2345929v1_genomic.fna",12,1,15,1,0
"GCA_023705965.1_ASM2370596v1_genomic.fna",6,0,8,0,0
"GCA_025058615.1_ASM2505861v1_genomic.fna",1,0,1,0,0
"GCA_025920735.1_ASM2592073v1_genomic.fna",2,4,41,15,1
"GCA_026394265.1_ASM2639426v1_genomic.fna",0,0,0,0,0
"GCA_026413985.1_ASM2641398v1_genomic.fna",2,0,2,0,0
"GCA_026985375.1_ASM2698537v1_genomic.fna",2,0,2,0,0
"GCA_027000535.1_ASM2700053v1_genomic.fna",1,0,3,0,0
"GCA_027019425.1_ASM2701942v1_genomic.fna",3,0,49,0,3
"GCA_027032285.1_ASM2703228v1_genomic.fna",0,0,0,0,0
"GCA_027037905.1_ASM2703790v1_genomic.fna",3,0,7,0,0
"GCA_027043065.1_ASM2704306v1_genomic.fna",0,0,0,0,0
"GCA_027052235.1_ASM2705223v1_genomic.fna",4,5,122,14,4
"GCA_027056935.1_ASM2705693v1_genomic.fna",2,2,8,3,1
"GCA_027068115.1_ASM2706811v1_genomic.fna",8,1,155,6,5
"GCA_027074585.1_ASM2707458v1_genomic.fna",3,2,34,8,1
"GCA_027081655.1_ASM2708165v1_genomic.fna",0,0,0,0,0
"GCA_027310535.1_ASM2731053v1_genomic.fna",0,0,0,0,0
"GCA_027314605.1_ASM2731460v1_genomic.fna",1,0,1,0,0
"GCA_027335645.1_ASM2733564v1_genomic.fna",0,0,0,0,0
"GCA_027337405.1_ASM2733740v1_genomic.fna",0,0,0,0,0
"GCA_027340645.1_ASM2734064v1_genomic.fna",0,0,0,0,0
"GCA_027366915.1_ASM2736691v1_genomic.fna",0,0,0,0,0
"GCA_027373875.1_ASM2737387v1_genomic.fna",0,0,0,0,0
"GCA_027375215.1_ASM2737521v1_genomic.fna",0,0,0,0,0
"GCA_027376335.1_ASM2737633v1_genomic.fna",1,0,1,0,0
"GCA_027378635.1_ASM2737863v1_genomic.fna",0,0,0,0,0
"GCA_027380365.1_ASM2738036v1_genomic.fna",0,0,0,0,0
"GCA_027380915.1_ASM2738091v1_genomic.fna",0,0,0,0,0
"GCA_027382075.1_ASM2738207v1_genomic.fna",2,0,2,0,0
"GCA_902592435.1_AG-447-C19_genomic.fna",3,1,3,1,0
"GCA_902759335.1_Rumen_uncultured_genome_RUG10447_genomic.fna",11,0,44,0,1
"GCA_903824825.1_freshwater_MAG_---_Loclat_bin-20843_genomic.fna",0,0,0,0,0
"GCA_937892945.1_ERR2206762_bin.189_CONCOCT_v1.1_MAG_genomic.fna",2,0,2,0,0
"GCA_945928295.1_SRR15057922_bin.11_metaWRAP_v1.3_MAG_genomic.fna",7,2,94,13,1
"GCF_000008665.1_ASM866v1_genomic.fna",3,1,149,3,3
"GCF_001315985.1_ASM131598v1_genomic.fna",12,2,145,10,12
"GCF_001316285.1_ASM131628v1_genomic.fna",3,1,44,3,3
"GCF_001560455.1_NG05B_C06_05_genomic.fna",4,1,228,5,3
"GCF_001560525.1_NG05B_C06_12_genomic.fna",5,2,229,7,3
"GCF_002072215.1_ASM207221v1_genomic.fna",19,1,39,2,0
"GCF_002177135.1_ASM217713v1_genomic.fna",0,0,0,0,0
"GCF_002208625.1_ASM220862v1_genomic.fna",27,3,102,10,1
"GCF_002844335.1_ASM284433v1_genomic.fna",2,0,10,0,0
"GCF_003201835.2_ASM320183v2_genomic.fna",11,3,370,26,9
"GCF_003665985.1_ASM366598v1_genomic.fna",9,3,123,19,4
"GCF_004323575.1_ASM432357v1_genomic.fna",3,2,98,4,2
"GCF_005435015.1_ASM543501v1_genomic.fna",9,2,67,11,1
"GCF_009392895.1_ASM939289v1_genomic.fna",3,0,5,0,0
"GCF_009831575.1_ASM983157v1_genomic.fna",2,0,3,0,0
"GCF_012027635.1_ASM1202763v1_genomic.fna",8,1,121,8,7
"GCF_013342135.1_ASM1334213v1_genomic.fna",5,0,14,0,0
"GCF_022807515.1_ASM2280751v1_genomic.fna",8,0,9,0,0
"GCF_024227715.1_ASM2422771v1_genomic.fna",7,0,24,0,0
"GCF_024494565.1_ASM2449456v1_genomic.fna",14,0,14,0,0
"GCF_900106715.1_IMG-taxon_2693429892_annotated_assembly_genomic.fna",5,0,10,0,0
"GCA_000204585.1_ASM20458v1_genomic.fna",1,0,1,0,0
"GCA_000224475.1_ASM22447v1_genomic.fna",7,1,73,8,2
"GCA_000416045.1_HR_032012_genomic.fna",0,0,0,0,0
"GCA_000496215.1_A07HN63_021313_select_genomic.fna",2,0,6,0,0
"GCA_001627165.1_ASM162716v1_genomic.fna",2,0,2,0,0
"GCA_001915075.1_ASM191507v1_genomic.fna",0,0,0,0,0
"GCA_002067315.1_ASM206731v1_genomic.fna",13,0,14,0,0
"GCA_002067935.1_ASM206793v1_genomic.fna",8,0,9,0,0
"GCA_002254485.1_ASM225448v1_genomic.fna",4,0,4,0,0
"GCA_002254705.1_ASM225470v1_genomic.fna",3,0,3,0,0
"GCA_002496285.1_ASM249628v1_genomic.fna",2,0,4,0,0
"GCA_002496905.1_ASM249690v1_genomic.fna",1,0,1,0,0
"GCA_002499425.1_ASM249942v1_genomic.fna",1,0,2,0,0
"GCA_002499755.1_ASM249975v1_genomic.fna",10,4,258,24,4
"GCA_002503215.1_ASM250321v1_genomic.fna",0,0,0,0,0
"GCA_002694235.1_ASM269423v1_genomic.fna",6,0,8,0,0
"GCA_002792685.1_ASM279268v1_genomic.fna",3,0,3,0,0
"GCA_002898655.1_ASM289865v1_genomic.fna",7,0,23,0,2
"GCA_003020965.1_ASM302096v1_genomic.fna",12,1,77,3,1
"GCA_003551525.1_ASM355152v1_genomic.fna",1,0,1,0,0
"GCA_003555395.1_ASM355539v1_genomic.fna",5,1,15,1,1
"GCA_003661285.1_ASM366128v1_genomic.fna",8,1,238,1,4
"GCA_003661485.1_ASM366148v1_genomic.fna",1,2,4,4,0
"GCA_003661525.1_ASM366152v1_genomic.fna",0,0,0,0,0
"GCA_003662515.1_ASM366251v1_genomic.fna",0,0,0,0,0
"GCA_003724175.1_ASM372417v1_genomic.fna",5,0,5,0,0
"GCA_004212155.1_ASM421215v1_genomic.fna",0,0,0,0,0
"GCA_004376425.1_ASM437642v1_genomic.fna",0,0,0,0,0
"GCA_005877275.1_ASM587727v1_genomic.fna",0,0,0,0,0
"GCA_005883755.1_ASM588375v1_genomic.fna",0,0,0,0,0
"GCA_007050875.1_ASM705087v1_genomic.fna",1,0,1,0,0
"GCA_009786005.1_ASM978600v1_genomic.fna",4,0,4,0,0
"GCA_009994275.1_ASM999427v1_genomic.fna",2,0,2,0,0
"GCA_009994675.1_ASM999467v1_genomic.fna",2,0,4,0,0
"GCA_011039595.1_ASM1103959v1_genomic.fna",0,0,0,0,0
"GCA_011043475.1_ASM1104347v1_genomic.fna",7,0,18,0,1
"GCA_011776415.1_ASM1177641v1_genomic.fna",14,1,25,1,0
"GCA_012962625.1_ASM1296262v1_genomic.fna",8,0,9,0,0
"GCA_013306075.1_ASM1330607v1_genomic.fna",1,0,1,0,0
"GCA_013330215.1_ASM1333021v1_genomic.fna",2,0,2,0,0
"GCA_013330555.1_ASM1333055v1_genomic.fna",0,0,0,0,0
"GCA_014066365.1_ASM1406636v1_genomic.fna",2,0,2,0,0
"GCA_014240255.1_ASM1424025v1_genomic.fna",3,1,5,2,0
"GCA_014361105.1_ASM1436110v1_genomic.fna",2,1,65,9,2
"GCA_015520205.1_ASM1552020v1_genomic.fna",0,0,0,0,0
"GCA_015520275.1_ASM1552027v1_genomic.fna",2,0,4,0,0
"GCA_015520765.1_ASM1552076v1_genomic.fna",2,0,9,0,1
"GCA_015522825.1_ASM1552282v1_genomic.fna",1,0,1,0,0
"GCA_015658345.1_ASM1565834v1_genomic.fna",0,0,0,0,0
"GCA_016180035.1_ASM1618003v1_genomic.fna",1,1,1,1,0
"GCA_016181885.1_ASM1618188v1_genomic.fna",5,0,5,0,0
"GCA_016290485.1_ASM1629048v1_genomic.fna",3,0,4,0,0
"GCA_016777165.1_ASM1677716v1_genomic.fna",1,0,1,0,0
"GCA_016784665.1_ASM1678466v1_genomic.fna",2,0,2,0,0
"GCA_016839665.1_ASM1683966v1_genomic.fna",3,0,9,0,0
"GCA_016935155.1_ASM1693515v1_genomic.fna",1,0,1,0,0
"GCA_017885605.1_ASM1788560v1_genomic.fna",0,0,0,0,0
"GCA_018302985.1_ASM1830298v1_genomic.fna",0,0,0,0,0
"GCA_018303565.1_ASM1830356v1_genomic.fna",3,0,8,0,1
"GCA_018304545.1_ASM1830454v1_genomic.fna",1,0,1,0,0
"GCA_018648425.1_ASM1864842v1_genomic.fna",0,0,0,0,0
"GCA_018661305.1_ASM1866130v1_genomic.fna",5,0,8,0,0
"GCA_018671675.1_ASM1867167v1_genomic.fna",3,0,4,0,0
"GCA_019594515.1_ASM1959451v1_genomic.fna",0,0,0,0,0
"GCA_020055655.1_ASM2005565v1_genomic.fna",0,0,0,0,0
"GCA_020832905.1_ASM2083290v1_genomic.fna",1,2,6,4,1
"GCA_020833145.1_ASM2083314v1_genomic.fna",1,0,1,0,0
"GCA_021107835.1_ASM2110783v1_genomic.fna",0,0,0,0,0
"GCA_021108185.1_ASM2110818v1_genomic.fna",0,0,0,0,0
"GCA_021159205.1_ASM2115920v1_genomic.fna",8,2,79,5,4
"GCA_021160985.1_ASM2116098v1_genomic.fna",0,0,0,0,0
"GCA_021498085.1_ASM2149808v1_genomic.fna",7,0,128,0,5
"GCA_021790415.1_ASM2179041v1_genomic.fna",2,2,15,2,1
"GCA_021797895.1_ASM2179789v1_genomic.fna",1,0,1,0,0
"GCA_021803245.1_ASM2180324v1_genomic.fna",1,0,3,0,0
"GCA_021832845.1_ASM2183284v1_genomic.fna",0,0,0,0,0
"GCA_021834845.1_ASM2183484v1_genomic.fna",0,0,0,0,0
"GCA_021845575.1_ASM2184557v1_genomic.fna",1,0,1,0,0
"GCA_021846625.1_ASM2184662v1_genomic.fna",5,2,52,9,1
"GCA_021847825.1_ASM2184782v1_genomic.fna",0,0,0,0,0
"GCA_022449905.1_ASM2244990v1_genomic.fna",0,0,0,0,0
"GCA_022571195.1_ASM2257119v1_genomic.fna",0,0,0,0,0
"GCA_023140855.1_ASM2314085v1_genomic.fna",0,0,0,0,0
"GCA_023245385.1_ASM2324538v1_genomic.fna",1,0,1,0,0
"GCA_023269535.1_ASM2326953v1_genomic.fna",1,0,1,0,0
"GCA_023436075.1_ASM2343607v1_genomic.fna",14,1,17,1,0
"GCA_023700305.1_ASM2370030v1_genomic.fna",2,0,2,0,0
"GCA_025061115.1_ASM2506111v1_genomic.fna",5,1,85,6,4
"GCA_025435475.1_ASM2543547v1_genomic.fna",10,0,67,0,4
"GCA_025924135.1_ASM2592413v1_genomic.fna",5,0,6,0,0
"GCA_026014935.1_ASM2601493v1_genomic.fna",0,0,0,0,0
"GCA_026192975.1_ASM2619297v1_genomic.fna",6,0,6,0,0
"GCA_026397335.1_ASM2639733v1_genomic.fna",2,0,2,0,0
"GCA_026413815.1_ASM2641381v1_genomic.fna",3,0,5,0,0
"GCA_027018375.1_ASM2701837v1_genomic.fna",1,0,1,0,0
"GCA_027028705.1_ASM2702870v1_genomic.fna",2,0,12,0,2
"GCA_027031745.1_ASM2703174v1_genomic.fna",12,5,297,28,7
"GCA_027035445.1_ASM2703544v1_genomic.fna",41,0,1149,0,40
"GCA_027052655.1_ASM2705265v1_genomic.fna",6,4,37,15,5
"GCA_027083015.1_ASM2708301v1_genomic.fna",0,0,0,0,0
"GCA_027250935.1_ASM2725093v1_genomic.fna",0,0,0,0,0
"GCA_027316595.1_ASM2731659v1_genomic.fna",41,6,482,23,30
"GCA_027316705.1_ASM2731670v1_genomic.fna",0,0,0,0,0
"GCA_027317585.1_ASM2731758v1_genomic.fna",1,0,1,0,0
"GCA_027318675.1_ASM2731867v1_genomic.fna",6,0,9,0,0
"GCA_027332365.1_ASM2733236v1_genomic.fna",3,0,3,0,0
"GCA_027334285.1_ASM2733428v1_genomic.fna",0,0,0,0,0
"GCA_027345195.1_ASM2734519v1_genomic.fna",0,0,0,0,0
"GCA_027346025.1_ASM2734602v1_genomic.fna",1,0,1,0,0
"GCA_027366875.1_ASM2736687v1_genomic.fna",1,0,1,0,0
"GCA_027368575.1_ASM2736857v1_genomic.fna",0,0,0,0,0
"GCA_027369355.1_ASM2736935v1_genomic.fna",3,0,15,0,1
"GCA_027378475.1_ASM2737847v1_genomic.fna",0,0,0,0,0
"GCA_027378735.1_ASM2737873v1_genomic.fna",1,0,1,0,0
"GCA_027385975.1_ASM2738597v1_genomic.fna",4,0,28,0,4
"GCA_027386595.1_ASM2738659v1_genomic.fna",0,0,0,0,0
"GCA_900315685.1_Rumen_uncultured_genome_RUG121_genomic.fna",11,0,44,0,1
"GCA_902386025.1_Candidatus_Pacearchaeota_archaeon_LFW-273_1_genomic.fna",1,0,1,0,0
"GCA_902607335.1_AG-464-F17_genomic.fna",0,0,0,0,0
"GCA_902768765.1_Rumen_uncultured_genome_RUG11386_genomic.fna",8,0,16,0,0
"GCA_903891505.1_freshwater_MAG_---_AlinenSediments_bin-1271_genomic.fna",1,0,1,0,0
"GCA_903920945.1_freshwater_MAG_---_C5coas_bin-1268_genomic.fna",1,0,1,0,0
"GCA_905067565.1_GoM-Arc1-GOM-AG-392-O15_genomic.fna",5,0,6,0,0
"GCA_937892295.1_ERR598989_bin.154_CONCOCT_v1.1_MAG_genomic.fna",1,0,3,0,0
"GCF_000214725.1_ASM21472v1_genomic.fna",6,1,92,8,1
"GCF_000336615.1_ASM33661v1_genomic.fna",8,0,32,0,1
"GCF_000979995.1_gtlEnvA5udCFS_genomic.fna",16,7,269,36,3
"GCF_001560205.1_GG12_C01_16_genomic.fna",4,2,228,8,3
"GCF_002252815.1_ASM225281v1_genomic.fna",4,0,5,0,0
"GCF_005576615.1_ASM557661v1_genomic.fna",0,0,0,0,0
"GCF_013166765.1_ASM1316676v1_genomic.fna",4,0,5,0,0
"GCF_025384765.1_ASM2538476v1_genomic.fna",4,3,134,14,1
"GCF_902827225.1_Methanocaldococcus_lauensis_SG7_genomic.fna",9,1,145,7,8
"GCA_000805925.1_ASM80592v1_genomic.fna",0,0,0,0,0
"GCA_002010275.1_ASM201027v1_genomic.fna",0,0,0,0,0
"GCA_002497445.1_ASM249744v1_genomic.fna",2,0,3,0,0
"GCA_002497805.1_ASM249780v1_genomic.fna",0,0,0,0,0
"GCA_002498625.1_ASM249862v1_genomic.fna",0,0,0,0,0
"GCA_002502165.1_ASM250216v1_genomic.fna",1,2,7,14,1
"GCA_002505695.1_ASM250569v1_genomic.fna",2,0,8,0,0
"GCA_002509565.1_ASM250956v1_genomic.fna",7,6,39,30,2
"GCA_002763225.1_ASM276322v1_genomic.fna",1,0,1,0,0
"GCA_003133625.1_20120500_P19_genomic.fna",2,0,2,0,0
"GCA_003151735.1_20120700_P3D_genomic.fna",1,1,1,1,0
"GCA_003552265.1_ASM355226v1_genomic.fna",2,0,2,0,0
"GCA_003554605.1_ASM355460v1_genomic.fna",2,0,2,0,0
"GCA_003649895.1_ASM364989v1_genomic.fna",0,0,0,0,0
"GCA_004524325.1_ASM452432v1_genomic.fna",0,0,0,0,0
"GCA_005878375.1_ASM587837v1_genomic.fna",1,0,1,0,0
"GCA_005878995.1_ASM587899v1_genomic.fna",0,0,0,0,0
"GCA_007050015.1_ASM705001v1_genomic.fna",0,0,0,0,0
"GCA_007050045.1_ASM705004v1_genomic.fna",18,8,408,24,16
"GCA_009992385.1_ASM999238v1_genomic.fna",0,0,0,0,0
"GCA_011041525.1_ASM1104152v1_genomic.fna",3,0,7,0,1
"GCA_011043025.1_ASM1104302v1_genomic.fna",0,0,0,0,0
"GCA_011056775.1_ASM1105677v1_genomic.fna",0,0,0,0,0
"GCA_011774125.1_ASM1177412v1_genomic.fna",3,0,3,0,0
"GCA_012522315.1_ASM1252231v1_genomic.fna",21,3,33,7,2
"GCA_012719835.1_ASM1271983v1_genomic.fna",15,0,20,0,0
"GCA_013153845.1_ASM1315384v1_genomic.fna",18,1,143,1,14
"GCA_013306035.1_ASM1330603v1_genomic.fna",1,0,1,0,0
"GCA_013329295.1_ASM1332929v1_genomic.fna",4,1,7,1,0
"GCA_013360305.1_ASM1336030v1_genomic.fna",0,0,0,0,0
"GCA_013374565.1_ASM1337456v1_genomic.fna",11,0,20,0,0
"GCA_014297435.1_ASM1429743v1_genomic.fna",0,0,0,0,0
"GCA_014361345.1_ASM1436134v1_genomic.fna",6,0,7,0,0
"GCA_014727935.1_ASM1472793v1_genomic.fna",4,1,6,1,0
