"genome","seqid","Cas_id","type","subtype"
"GCF_027110435.1_ASM2711043v1_genomic.fna","NZ_JAPVER010000020.1","NZ_JAPVER010000020.1@CAS:1","TypeI","TypeIB"
"GCA_001940655.1_ASM194065v1_genomic.fna","MBAA01000186.1","MBAA01000186.1@CAS:1","TypeI","TypeIE"
"GCA_002503525.1_ASM250352v1_genomic.fna","DARX01000156.1","DARX01000156.1@CAS:1","CAS","CAS"
"GCA_002503525.1_ASM250352v1_genomic.fna","DARX01000156.1","DARX01000156.1@CAS:2","TypeI","TypeIC"
"GCA_002509745.1_ASM250974v1_genomic.fna","DAWK01000149.1","DAWK01000149.1@CAS:1","CAS","CAS"
"GCA_002509745.1_ASM250974v1_genomic.fna","DAWK01000172.1","DAWK01000172.1@CAS:1","CAS","CAS"
"GCA_002687975.1_ASM268797v1_genomic.fna","NZBR01000006.1","NZBR01000006.1@CAS:1","CAS","CAS"
"GCA_002687975.1_ASM268797v1_genomic.fna","NZBR01000007.1","NZBR01000007.1@CAS:1","CAS","CAS"
"GCA_003602485.1_ASM360248v1_genomic.fna","QQSD01000005.1","QQSD01000005.1@CAS:1","CAS","CAS"
"GCA_009787175.1_ASM978717v1_genomic.fna","WRGM01000150.1","WRGM01000150.1@CAS:1","CAS","CAS"
"GCA_009787175.1_ASM978717v1_genomic.fna","WRGM01000150.1","WRGM01000150.1@CAS:2","TypeI","TypeIB"
"GCA_012520015.1_ASM1252001v1_genomic.fna","JAAYPD010000449.1","JAAYPD010000449.1@CAS:1","CAS","CAS"
"GCA_013330375.1_ASM1333037v1_genomic.fna","DUIJ01000007.1","DUIJ01000007.1@CAS:1","CAS","CAS"
"GCA_013330375.1_ASM1333037v1_genomic.fna","DUIJ01000007.1","DUIJ01000007.1@CAS:2","TypeI","TypeIA"
"GCA_013330375.1_ASM1333037v1_genomic.fna","DUIJ01000029.1","DUIJ01000029.1@CAS:1","CAS","CAS"
"GCA_013375355.1_ASM1337535v1_genomic.fna","JABXJV010000057.1","JABXJV010000057.1@CAS:1","CAS","CAS"
"GCA_013375355.1_ASM1337535v1_genomic.fna","JABXJV010000057.1","JABXJV010000057.1@CAS:2","TypeIII","TypeIIIU"
"GCA_013375355.1_ASM1337535v1_genomic.fna","JABXJV010000057.1","JABXJV010000057.1@CAS:3","TypeIII","TypeIIIA"
"GCA_013375355.1_ASM1337535v1_genomic.fna","JABXJV010000065.1","JABXJV010000065.1@CAS:1","TypeIII","TypeIIIU"
"GCA_014237495.1_ASM1423749v1_genomic.fna","JAAXOD010000119.1","JAAXOD010000119.1@CAS:1","CAS","CAS"
"GCA_014237495.1_ASM1423749v1_genomic.fna","JAAXOD010000119.1","JAAXOD010000119.1@CAS:2","TypeI","TypeIB"
"GCA_014237495.1_ASM1423749v1_genomic.fna","JAAXOD010000062.1","JAAXOD010000062.1@CAS:1","CAS","CAS"
"GCA_015063135.1_ASM1506313v1_genomic.fna","SUTA01000004.1","SUTA01000004.1@CAS:1","TypeI","TypeIE"
"GCA_016125975.1_ASM1612597v1_genomic.fna","JAEFCZ010000084.1","JAEFCZ010000084.1@CAS:1","CAS","CAS"
"GCA_016125975.1_ASM1612597v1_genomic.fna","JAEFCZ010000084.1","JAEFCZ010000084.1@CAS:2","TypeI","TypeIB"
"GCA_016839945.1_ASM1683994v1_genomic.fna","JAEOTE010000009.1","JAEOTE010000009.1@CAS:1","CAS","CAS"
"GCA_017992675.1_ASM1799267v1_genomic.fna","JAGOOE010000004.1","JAGOOE010000004.1@CAS:1","CAS","CAS"
"GCA_017992675.1_ASM1799267v1_genomic.fna","JAGOOE010000004.1","JAGOOE010000004.1@CAS:2","TypeI","TypeIB"
"GCA_018302125.1_ASM1830212v1_genomic.fna","JAGWAC010000005.1","JAGWAC010000005.1@CAS:1","CAS","CAS"
"GCA_018436745.1_LM3_genomic.fna","JAHDKU010000025.1","JAHDKU010000025.1@CAS:1","TypeI","TypeIE"
"GCA_018436745.1_LM3_genomic.fna","JAHDKU010000025.1","JAHDKU010000025.1@CAS:2","CAS","CAS"
"GCA_018436745.1_LM3_genomic.fna","JAHDKU010000004.1","JAHDKU010000004.1@CAS:1","TypeI","TypeID"
"GCA_018436745.1_LM3_genomic.fna","JAHDKU010000051.1","JAHDKU010000051.1@CAS:1","CAS","CAS"
"GCA_018436745.1_LM3_genomic.fna","JAHDKU010000051.1","JAHDKU010000051.1@CAS:2","TypeI","TypeIC"
"GCA_021162915.1_ASM2116291v1_genomic.fna","JAGGXS010000048.1","JAGGXS010000048.1@CAS:1","CAS","CAS"
"GCA_021796585.1_ASM2179658v1_genomic.fna","JAKABU010000011.1","JAKABU010000011.1@CAS:1","TypeI","TypeIU"
"GCA_021796585.1_ASM2179658v1_genomic.fna","JAKABU010000011.1","JAKABU010000011.1@CAS:2","CAS","CAS"
"GCA_021796585.1_ASM2179658v1_genomic.fna","JAKABU010000011.1","JAKABU010000011.1@CAS:3","TypeI","TypeID"
"GCA_024461155.1_ASM2446115v1_genomic.fna","JANHAM010000005.1","JANHAM010000005.1@CAS:1","CAS","CAS"
"GCA_024461155.1_ASM2446115v1_genomic.fna","JANHAM010000005.1","JANHAM010000005.1@CAS:2","TypeI","TypeIA"
"GCA_027367995.1_ASM2736799v1_genomic.fna","DAICSS010000004.1","DAICSS010000004.1@CAS:1","CAS","CAS"
"GCA_027367995.1_ASM2736799v1_genomic.fna","DAICSS010000004.1","DAICSS010000004.1@CAS:2","TypeI","TypeIB"
"GCA_027381315.1_ASM2738131v1_genomic.fna","DAIEWH010000065.1","DAIEWH010000065.1@CAS:1","CAS","CAS"
"GCA_027381315.1_ASM2738131v1_genomic.fna","DAIEWH010000065.1","DAIEWH010000065.1@CAS:2","TypeI","TypeIB"
"GCA_027386985.1_ASM2738698v1_genomic.fna","DAHXSV010000152.1","DAHXSV010000152.1@CAS:1","CAS","CAS"
"GCA_027386985.1_ASM2738698v1_genomic.fna","DAHXSV010000152.1","DAHXSV010000152.1@CAS:2","TypeI","TypeID"
"GCA_902776255.1_Rumen_uncultured_genome_RUG12155_genomic.fna","CACYPG010000026.1","CACYPG010000026.1@CAS:1","CAS","CAS"
"GCA_902776255.1_Rumen_uncultured_genome_RUG12155_genomic.fna","CACYPG010000026.1","CACYPG010000026.1@CAS:2","TypeI","TypeIB"
"GCA_902776255.1_Rumen_uncultured_genome_RUG12155_genomic.fna","CACYPG010000054.1","CACYPG010000054.1@CAS:1","CAS","CAS"
"GCA_902776255.1_Rumen_uncultured_genome_RUG12155_genomic.fna","CACYPG010000058.1","CACYPG010000058.1@CAS:1","CAS","CAS"
"GCA_902776255.1_Rumen_uncultured_genome_RUG12155_genomic.fna","CACYPG010000058.1","CACYPG010000058.1@CAS:2","TypeI","TypeIB"
"GCA_902776255.1_Rumen_uncultured_genome_RUG12155_genomic.fna","CACYPG010000073.1","CACYPG010000073.1@CAS:1","CAS","CAS"
"GCA_934746405.1_ERR7746411_bin.310_genomic.fna","CAKVFD010000008.1","CAKVFD010000008.1@CAS:1","CAS","CAS"
"GCA_934746405.1_ERR7746411_bin.310_genomic.fna","CAKVFD010000008.1","CAKVFD010000008.1@CAS:2","TypeI","TypeIB"
"GCA_937941735.1_SRR3901698_bin.30_CONCOCT_v1.1_MAG_genomic.fna","CALDGM010000246.1","CALDGM010000246.1@CAS:1","CAS","CAS"
"GCA_944321985.1_BRZ_KP_bin43_genomic.fna","CALUNK010000137.1","CALUNK010000137.1@CAS:1","Type","TypeU"
"GCA_944321985.1_BRZ_KP_bin43_genomic.fna","CALUNK010000137.1","CALUNK010000137.1@CAS:2","CAS","CAS"
"GCF_000827835.1_ASM82783v1_genomic.fna","NZ_CP010529.1","NZ_CP010529.1@CAS:1","TypeI","TypeID"
"GCF_001484195.1_ASM148419v1_genomic.fna","NZ_LLYW01000050.1","NZ_LLYW01000050.1@CAS:1","CAS","CAS"
"GCF_002114285.1_ASM211428v1_genomic.fna","NZ_NEDJ01000040.1","NZ_NEDJ01000040.1@CAS:1","CAS","CAS"
"GCF_002114285.1_ASM211428v1_genomic.fna","NZ_NEDJ01000040.1","NZ_NEDJ01000040.1@CAS:2","TypeI","TypeIB"
"GCF_002114285.1_ASM211428v1_genomic.fna","NZ_NEDJ01000006.1","NZ_NEDJ01000006.1@CAS:1","CAS","CAS"
"GCF_003852155.1_ASM385215v1_genomic.fna","NZ_CP033238.1","NZ_CP033238.1@CAS:1","TypeIII","TypeIIIB"
"GCF_004765815.2_ASM476581v2_genomic.fna","NZ_SBIS02000012.1","NZ_SBIS02000012.1@CAS:1","CAS","CAS"
"GCF_004765815.2_ASM476581v2_genomic.fna","NZ_SBIS02000012.1","NZ_SBIS02000012.1@CAS:2","TypeI","TypeID"
"GCF_026000775.1_ASM2600077v1_genomic.fna","NZ_AP026830.1","NZ_AP026830.1@CAS:1","TypeI","TypeIA"
"GCF_902813195.1_Essen_genomic.fna","NZ_LR778300.1","NZ_LR778300.1@CAS:1","TypeI","TypeIA"
"GCA_002009975.1_ASM200997v1_genomic.fna","MTLP01000022.1","MTLP01000022.1@CAS:1","TypeI","TypeIB"
"GCA_002009975.1_ASM200997v1_genomic.fna","MTLP01000039.1","MTLP01000039.1@CAS:1","CAS","CAS"
"GCA_002496135.1_ASM249613v1_genomic.fna","DAIN01000162.1","DAIN01000162.1@CAS:1","TypeI","TypeIE"
"GCA_002506105.1_ASM250610v1_genomic.fna","DAWU01000042.1","DAWU01000042.1@CAS:1","CAS","CAS"
"GCA_002506105.1_ASM250610v1_genomic.fna","DAWU01000042.1","DAWU01000042.1@CAS:2","TypeI","TypeIB"
"GCA_002507545.1_ASM250754v1_genomic.fna","DAVR01000042.1","DAVR01000042.1@CAS:1","CAS","CAS"
"GCA_002507545.1_ASM250754v1_genomic.fna","DAVR01000042.1","DAVR01000042.1@CAS:2","TypeI","TypeIB"
"GCA_003661105.1_ASM366110v1_genomic.fna","QMVM01000109.1","QMVM01000109.1@CAS:1","CAS","CAS"
"GCA_003661105.1_ASM366110v1_genomic.fna","QMVM01000109.1","QMVM01000109.1@CAS:2","TypeI","TypeID"
"GCA_003661105.1_ASM366110v1_genomic.fna","QMVM01000149.1","QMVM01000149.1@CAS:1","CAS","CAS"
"GCA_003661105.1_ASM366110v1_genomic.fna","QMVM01000149.1","QMVM01000149.1@CAS:2","TypeI","TypeIB"
"GCA_011052825.1_ASM1105282v1_genomic.fna","DRIF01000082.1","DRIF01000082.1@CAS:1","CAS","CAS"
"GCA_011052825.1_ASM1105282v1_genomic.fna","DRIF01000082.1","DRIF01000082.1@CAS:2","TypeI","TypeIB"
"GCA_011052825.1_ASM1105282v1_genomic.fna","DRIF01000166.1","DRIF01000166.1@CAS:1","TypeI","TypeID"
"GCA_011058825.1_ASM1105882v1_genomic.fna","JAACYF010000005.1","JAACYF010000005.1@CAS:1","TypeI","TypeIB"
"GCA_018667675.1_ASM1866767v1_genomic.fna","JABISD010000073.1","JABISD010000073.1@CAS:1","CAS","CAS"
"GCA_021107935.1_ASM2110793v1_genomic.fna","JAIORW010000483.1","JAIORW010000483.1@CAS:1","CAS","CAS"
"GCA_021736975.1_ASM2173697v1_genomic.fna","JAIPET010000006.1","JAIPET010000006.1@CAS:1","CAS","CAS"
"GCA_021736975.1_ASM2173697v1_genomic.fna","JAIPET010000004.1","JAIPET010000004.1@CAS:1","CAS","CAS"
"GCA_023396065.1_ASM2339606v1_genomic.fna","JAEWXF010000025.1","JAEWXF010000025.1@CAS:1","CAS","CAS"
"GCA_023396065.1_ASM2339606v1_genomic.fna","JAEWXF010000028.1","JAEWXF010000028.1@CAS:1","TypeI","TypeIC"
"GCA_027367735.1_ASM2736773v1_genomic.fna","DAICTF010000102.1","DAICTF010000102.1@CAS:1","CAS","CAS"
"GCA_902788375.1_Rumen_uncultured_genome_RUG13366_genomic.fna","CADAKG010000020.1","CADAKG010000020.1@CAS:1","CAS","CAS"
"GCA_902788375.1_Rumen_uncultured_genome_RUG13366_genomic.fna","CADAKG010000020.1","CADAKG010000020.1@CAS:2","TypeIII","TypeIIIA"
"GCA_905182695.1_FRAM18_bin104_genomic.fna","CAJJCL010000003.1","CAJJCL010000003.1@CAS:1","CAS","CAS"
"GCF_000007005.1_ASM700v1_genomic.fna","NC_002754.1","NC_002754.1@CAS:1","TypeI","TypeIA"
"GCF_000007005.1_ASM700v1_genomic.fna","NC_002754.1","NC_002754.1@CAS:2","TypeI","TypeIA"
"GCF_000007005.1_ASM700v1_genomic.fna","NC_002754.1","NC_002754.1@CAS:3","TypeIII","TypeIIIB"
"GCF_000007005.1_ASM700v1_genomic.fna","NC_002754.1","NC_002754.1@CAS:4","TypeIII","TypeIIIB"
"GCF_000189955.1_ASM18995v2_genomic.fna","NZ_AELS01000027.1","NZ_AELS01000027.1@CAS:1","CAS","CAS"
"GCF_000189955.1_ASM18995v2_genomic.fna","NZ_AELS01000027.1","NZ_AELS01000027.1@CAS:2","TypeIII","TypeIIIA"
"GCF_000300255.2_ASM30025v2_genomic.fna","NC_020913.1","NC_020913.1@CAS:1","Type","TypeU"
"GCF_000969965.1_ASM96996v1_genomic.fna","NZ_CP009503.1","NZ_CP009503.1@CAS:1","TypeIII","TypeIIIU"
"GCF_000969965.1_ASM96996v1_genomic.fna","NZ_CP009503.1","NZ_CP009503.1@CAS:2","TypeI","TypeIB"
"GCF_000970085.1_ASM97008v1_genomic.fna","NZ_CP009506.1","NZ_CP009506.1@CAS:1","TypeIII","TypeIIIB"
"GCF_000970085.1_ASM97008v1_genomic.fna","NZ_CP009506.1","NZ_CP009506.1@CAS:2","TypeI","TypeIB"
"GCF_001560245.1_GG12_C01_18_genomic.fna","NZ_LPRR01000003.1","NZ_LPRR01000003.1@CAS:1","TypeI","TypeID"
"GCF_001560795.1_NG05B_CO5_13_genomic.fna","NZ_LPSS01000002.1","NZ_LPSS01000002.1@CAS:1","TypeI","TypeID"
"GCF_002287235.1_ASM228723v1_genomic.fna","NZ_LMVP01000020.1","NZ_LMVP01000020.1@CAS:1","CAS","CAS"
"GCF_002287235.1_ASM228723v1_genomic.fna","NZ_LMVP01000020.1","NZ_LMVP01000020.1@CAS:2","TypeI","TypeIA"
"GCF_002287235.1_ASM228723v1_genomic.fna","NZ_LMVP01000020.1","NZ_LMVP01000020.1@CAS:3","TypeI","TypeIB"
"GCF_002287235.1_ASM228723v1_genomic.fna","NZ_LMVP01000054.1","NZ_LMVP01000054.1@CAS:1","TypeIII","TypeIIIU"
"GCF_002287235.1_ASM228723v1_genomic.fna","NZ_LMVP01000054.1","NZ_LMVP01000054.1@CAS:2","TypeIII","TypeIIIA"
"GCF_002287235.1_ASM228723v1_genomic.fna","NZ_LMVP01000479.1","NZ_LMVP01000479.1@CAS:1","CAS","CAS"
"GCF_004114995.1_ASM411499v1_genomic.fna","NZ_SDJP01000012.1","NZ_SDJP01000012.1@CAS:1","CAS","CAS"
"GCF_004114995.1_ASM411499v1_genomic.fna","NZ_SDJP01000013.1","NZ_SDJP01000013.1@CAS:1","CAS","CAS"
"GCF_004114995.1_ASM411499v1_genomic.fna","NZ_SDJP01000013.1","NZ_SDJP01000013.1@CAS:2","TypeI","TypeIB"
"GCF_004114995.1_ASM411499v1_genomic.fna","NZ_SDJP01000033.1","NZ_SDJP01000033.1@CAS:1","CAS","CAS"
"GCF_004114995.1_ASM411499v1_genomic.fna","NZ_SDJP01000033.1","NZ_SDJP01000033.1@CAS:2","TypeI","TypeIB"
"GCF_004114995.1_ASM411499v1_genomic.fna","NZ_SDJP01000044.1","NZ_SDJP01000044.1@CAS:1","CAS","CAS"
"GCF_004114995.1_ASM411499v1_genomic.fna","NZ_SDJP01000044.1","NZ_SDJP01000044.1@CAS:2","TypeI","TypeID"
"GCF_004114995.1_ASM411499v1_genomic.fna","NZ_SDJP01000009.1","NZ_SDJP01000009.1@CAS:1","TypeI","TypeID"
"GCF_007655485.1_ASM765548v1_genomic.fna","NZ_VJXQ01000002.1","NZ_VJXQ01000002.1@CAS:1","TypeI","TypeIB"
"GCF_009914725.1_ASM991472v1_genomic.fna","NZ_JAAAWJ010000058.1","NZ_JAAAWJ010000058.1@CAS:1","CAS","CAS"
"GCF_009914725.1_ASM991472v1_genomic.fna","NZ_JAAAWJ010000058.1","NZ_JAAAWJ010000058.1@CAS:2","TypeI","TypeIC"
"GCF_017094485.1_ASM1709448v1_genomic.fna","NZ_CP064786.1","NZ_CP064786.1@CAS:1","TypeI","TypeID"
"GCF_019599405.1_ASM1959940v1_genomic.fna","NZ_RKLQ01000005.1","NZ_RKLQ01000005.1@CAS:1","TypeI","TypeIB"
"GCA_002011255.1_ASM201125v1_genomic.fna","MTMQ01000002.1","MTMQ01000002.1@CAS:1","CAS","CAS"
"GCA_002011255.1_ASM201125v1_genomic.fna","MTMQ01000002.1","MTMQ01000002.1@CAS:2","TypeI","TypeIA"
"GCA_002070315.1_ASM207031v1_genomic.fna","MWDA01000018.1","MWDA01000018.1@CAS:1","TypeIII","TypeIIIU"
"GCA_002503225.1_ASM250322v1_genomic.fna","DARF01000003.1","DARF01000003.1@CAS:1","CAS","CAS"
"GCA_014237145.1_ASM1423714v1_genomic.fna","JAAXOC010000068.1","JAAXOC010000068.1@CAS:1","CAS","CAS"
"GCA_014237145.1_ASM1423714v1_genomic.fna","JAAXOC010000044.1","JAAXOC010000044.1@CAS:1","TypeI","TypeIA"
"GCA_015521265.1_ASM1552126v1_genomic.fna","WAON01000265.1","WAON01000265.1@CAS:1","CAS","CAS"
"GCA_016185705.1_ASM1618570v1_genomic.fna","JACPMZ010000005.1","JACPMZ010000005.1@CAS:1","CAS","CAS"
"GCA_016866975.1_JGI_2017-08-21_genomic.fna","VGKP01000004.1","VGKP01000004.1@CAS:1","CAS","CAS"
"GCA_018304635.1_ASM1830463v1_genomic.fna","JAGVVW010000049.1","JAGVVW010000049.1@CAS:1","CAS","CAS"
"GCA_018304635.1_ASM1830463v1_genomic.fna","JAGVVW010000049.1","JAGVVW010000049.1@CAS:2","TypeI","TypeIB"
"GCA_018899315.1_ASM1889931v1_genomic.fna","JAHIIK010000137.1","JAHIIK010000137.1@CAS:1","TypeIII","TypeIIIA"
"GCA_019136335.1_ASM1913633v1_genomic.fna","JAGVUK010000258.1","JAGVUK010000258.1@CAS:1","CAS","CAS"
"GCA_021324265.1_ASM2132426v1_genomic.fna","JAJPJK010000001.1","JAJPJK010000001.1@CAS:1","TypeI","TypeIA"
"GCA_023230425.1_ASM2323042v1_genomic.fna","JALNXI010000010.1","JALNXI010000010.1@CAS:1","CAS","CAS"
"GCA_023379155.1_ASM2337915v1_genomic.fna","JAMCVF010000004.1","JAMCVF010000004.1@CAS:1","TypeI","TypeIU"
"GCA_023379155.1_ASM2337915v1_genomic.fna","JAMCVF010000004.1","JAMCVF010000004.1@CAS:2","CAS","CAS"
"GCA_023379155.1_ASM2337915v1_genomic.fna","JAMCVF010000004.1","JAMCVF010000004.1@CAS:3","TypeI","TypeID"
"GCA_023487205.1_ASM2348720v1_genomic.fna","JAMDBT010000048.1","JAMDBT010000048.1@CAS:1","TypeI","TypeIU"
"GCA_023487205.1_ASM2348720v1_genomic.fna","JAMDBT010000048.1","JAMDBT010000048.1@CAS:2","CAS","CAS"
"GCA_023487205.1_ASM2348720v1_genomic.fna","JAMDBT010000048.1","JAMDBT010000048.1@CAS:3","TypeI","TypeID"
"GCA_023487205.1_ASM2348720v1_genomic.fna","JAMDBT010000030.1","JAMDBT010000030.1@CAS:1","CAS","CAS"
"GCA_023487205.1_ASM2348720v1_genomic.fna","JAMDBT010000030.1","JAMDBT010000030.1@CAS:2","TypeI","TypeIC"
"GCA_025340205.1_ASM2534020v1_genomic.fna","CP006868.1","CP006868.1@CAS:1","TypeIII","TypeIIIB"
"GCA_025340205.1_ASM2534020v1_genomic.fna","CP006868.1","CP006868.1@CAS:2","TypeIII","TypeIIIB"
"GCA_026134065.1_ASM2613406v1_genomic.fna","JAOQIM010000012.1","JAOQIM010000012.1@CAS:1","CAS","CAS"
"GCA_026134065.1_ASM2613406v1_genomic.fna","JAOQIM010000002.1","JAOQIM010000002.1@CAS:1","TypeIII","TypeIIIA"
"GCA_026134065.1_ASM2613406v1_genomic.fna","JAOQIM010000028.1","JAOQIM010000028.1@CAS:1","CAS","CAS"
"GCA_026134065.1_ASM2613406v1_genomic.fna","JAOQIM010000028.1","JAOQIM010000028.1@CAS:2","TypeI","TypeIB"
"GCA_026394555.1_ASM2639455v1_genomic.fna","JAPKXZ010000067.1","JAPKXZ010000067.1@CAS:1","TypeI","TypeIU"
"GCA_026394555.1_ASM2639455v1_genomic.fna","JAPKXZ010000067.1","JAPKXZ010000067.1@CAS:2","CAS","CAS"
"GCA_026394555.1_ASM2639455v1_genomic.fna","JAPKXZ010000067.1","JAPKXZ010000067.1@CAS:3","TypeI","TypeID"
"GCA_026394555.1_ASM2639455v1_genomic.fna","JAPKXZ010000003.1","JAPKXZ010000003.1@CAS:1","CAS","CAS"
"GCA_026394555.1_ASM2639455v1_genomic.fna","JAPKXZ010000003.1","JAPKXZ010000003.1@CAS:2","TypeIII","TypeIIIU"
"GCA_026394555.1_ASM2639455v1_genomic.fna","JAPKXZ010000003.1","JAPKXZ010000003.1@CAS:3","TypeIII","TypeIIIB"
"GCA_026394555.1_ASM2639455v1_genomic.fna","JAPKXZ010000003.1","JAPKXZ010000003.1@CAS:4","TypeI","TypeID"
"GCA_026394555.1_ASM2639455v1_genomic.fna","JAPKXZ010000014.1","JAPKXZ010000014.1@CAS:1","CAS","CAS"
"GCA_026394555.1_ASM2639455v1_genomic.fna","JAPKXZ010000014.1","JAPKXZ010000014.1@CAS:2","TypeI","TypeIA"
"GCA_026394555.1_ASM2639455v1_genomic.fna","JAPKXZ010000014.1","JAPKXZ010000014.1@CAS:3","TypeI","TypeIB"
"GCA_027080775.1_ASM2708077v1_genomic.fna","JALWPV010000016.1","JALWPV010000016.1@CAS:1","CAS","CAS"
"GCA_027080775.1_ASM2708077v1_genomic.fna","JALWPV010000016.1","JALWPV010000016.1@CAS:2","TypeI","TypeIA"
"GCA_027080775.1_ASM2708077v1_genomic.fna","JALWPV010000016.1","JALWPV010000016.1@CAS:3","TypeIII","TypeIIIB"
"GCA_027080775.1_ASM2708077v1_genomic.fna","JALWPV010000083.1","JALWPV010000083.1@CAS:1","TypeIII","TypeIIIU"
"GCA_027316365.1_ASM2731636v1_genomic.fna","DAHVGS010000032.1","DAHVGS010000032.1@CAS:1","CAS","CAS"
"GCA_027316365.1_ASM2731636v1_genomic.fna","DAHVGS010000032.1","DAHVGS010000032.1@CAS:2","TypeIII","TypeIIIU"
"GCA_027316365.1_ASM2731636v1_genomic.fna","DAHVGS010000032.1","DAHVGS010000032.1@CAS:3","TypeI","TypeIB"
"GCA_027316365.1_ASM2731636v1_genomic.fna","DAHVGS010000032.1","DAHVGS010000032.1@CAS:4","TypeIII","TypeIIIA"
"GCA_027316365.1_ASM2731636v1_genomic.fna","DAHVGS010000047.1","DAHVGS010000047.1@CAS:1","CAS","CAS"
"GCA_027316365.1_ASM2731636v1_genomic.fna","DAHVGS010000047.1","DAHVGS010000047.1@CAS:2","TypeI","TypeIB"
"GCA_027316365.1_ASM2731636v1_genomic.fna","DAHVGS010000047.1","DAHVGS010000047.1@CAS:3","TypeI","TypeID"
"GCA_027316365.1_ASM2731636v1_genomic.fna","DAHVGS010000004.1","DAHVGS010000004.1@CAS:1","TypeI","TypeIU"
"GCA_027316365.1_ASM2731636v1_genomic.fna","DAHVGS010000004.1","DAHVGS010000004.1@CAS:2","CAS","CAS"
"GCA_027316365.1_ASM2731636v1_genomic.fna","DAHVGS010000004.1","DAHVGS010000004.1@CAS:3","TypeI","TypeID"
"GCA_027368415.1_ASM2736841v1_genomic.fna","DAICRU010000006.1","DAICRU010000006.1@CAS:1","TypeI","TypeIU"
"GCA_027368415.1_ASM2736841v1_genomic.fna","DAICRU010000006.1","DAICRU010000006.1@CAS:2","CAS","CAS"
"GCA_027368415.1_ASM2736841v1_genomic.fna","DAICRU010000006.1","DAICRU010000006.1@CAS:3","TypeI","TypeID"
"GCF_000337835.1_ASM33783v1_genomic.fna","NZ_AOLM01000009.1","NZ_AOLM01000009.1@CAS:1","CAS","CAS"
"GCF_000337835.1_ASM33783v1_genomic.fna","NZ_AOLM01000009.1","NZ_AOLM01000009.1@CAS:2","TypeI","TypeIA"
"GCF_000337835.1_ASM33783v1_genomic.fna","NZ_AOLM01000009.1","NZ_AOLM01000009.1@CAS:3","TypeI","TypeID"
"GCF_000762265.1_ASM76226v1_genomic.fna","NZ_CP006933.1","NZ_CP006933.1@CAS:1","TypeI","TypeIB"
"GCF_000762265.1_ASM76226v1_genomic.fna","NZ_CP006933.1","NZ_CP006933.1@CAS:2","TypeI","TypeIB"
"GCF_000978945.1_gtlEnvA5udCFS_genomic.fna","NZ_JJPB01000099.1","NZ_JJPB01000099.1@CAS:1","CAS","CAS"
"GCF_000978945.1_gtlEnvA5udCFS_genomic.fna","NZ_JJPB01000099.1","NZ_JJPB01000099.1@CAS:2","TypeI","TypeIB"
"GCF_000978945.1_gtlEnvA5udCFS_genomic.fna","NZ_JJPB01000021.1","NZ_JJPB01000021.1@CAS:1","CAS","CAS"
"GCF_000978945.1_gtlEnvA5udCFS_genomic.fna","NZ_JJPB01000021.1","NZ_JJPB01000021.1@CAS:2","TypeIII","TypeIIIU"
"GCF_000978945.1_gtlEnvA5udCFS_genomic.fna","NZ_JJPB01000021.1","NZ_JJPB01000021.1@CAS:3","TypeIII","TypeIIIB"
"GCF_000978945.1_gtlEnvA5udCFS_genomic.fna","NZ_JJPB01000082.1","NZ_JJPB01000082.1@CAS:1","TypeIII","TypeIIIB"
"GCF_000978945.1_gtlEnvA5udCFS_genomic.fna","NZ_JJPB01000085.1","NZ_JJPB01000085.1@CAS:1","TypeIII","TypeIIIB"
"GCF_002252895.1_ASM225289v1_genomic.fna","NZ_NHPE01000019.1","NZ_NHPE01000019.1@CAS:1","CAS","CAS"
"GCF_003948265.1_ASM394826v1_genomic.fna","NZ_RCOR01000004.1","NZ_RCOR01000004.1@CAS:1","CAS","CAS"
"GCF_003948265.1_ASM394826v1_genomic.fna","NZ_RCOR01000004.1","NZ_RCOR01000004.1@CAS:2","TypeI","TypeIA"
"GCF_003948265.1_ASM394826v1_genomic.fna","NZ_RCOR01000032.1","NZ_RCOR01000032.1@CAS:1","TypeIII","TypeIIIU"
"GCF_003948265.1_ASM394826v1_genomic.fna","NZ_RCOR01000032.1","NZ_RCOR01000032.1@CAS:2","TypeIII","TypeIIIA"
"GCF_003948265.1_ASM394826v1_genomic.fna","NZ_RCOR01000039.1","NZ_RCOR01000039.1@CAS:1","CAS","CAS"
"GCF_003948265.1_ASM394826v1_genomic.fna","NZ_RCOR01000040.1","NZ_RCOR01000040.1@CAS:1","TypeIII","TypeIIIA"
"GCF_008326385.1_SulIC007_1.0_genomic.fna","NZ_AP018930.1","NZ_AP018930.1@CAS:1","TypeI","TypeIB"
"GCF_008326385.1_SulIC007_1.0_genomic.fna","NZ_AP018930.1","NZ_AP018930.1@CAS:2","TypeI","TypeIA"
"GCF_904067545.1_T_caminus_IRI35c_genomic.fna","NZ_LR881183.1","NZ_LR881183.1@CAS:1","TypeI","TypeIB"
"GCF_905220655.1_NU5A1_genomic.fna","NZ_CAJNAQ010000005.1","NZ_CAJNAQ010000005.1@CAS:1","TypeI","TypeIB"
"GCA_001919295.1_ASM191929v1_genomic.fna","MNHP01000169.1","MNHP01000169.1@CAS:1","CAS","CAS"
"GCA_002504985.1_ASM250498v1_genomic.fna","DAUC01000002.1","DAUC01000002.1@CAS:1","CAS","CAS"
"GCA_002509005.1_ASM250900v1_genomic.fna","DAHI01000047.1","DAHI01000047.1@CAS:1","CAS","CAS"
