genome	taxid	species	kingdom	crispr_strict	gram
GCA_003562145.1_ASM356214v1_genomic.fna	2026803	Candidatus Woesearchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_016185815.1_ASM1618581v1_genomic.fna	2026803	Candidatus Woesearchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_019323495.1_ASM1932349v1_genomic.fna	2026803	Candidatus Woesearchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_019322415.1_ASM1932241v1_genomic.fna	2026803	Candidatus Woesearchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_016845225.1_ASM1684522v1_genomic.fna	2026803	Candidatus Woesearchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_002686495.1_ASM268649v1_genomic.fna	2026803	Candidatus Woesearchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_018656525.1_ASM1865652v1_genomic.fna	2026803	Candidatus Woesearchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_018302985.1_ASM1830298v1_genomic.fna	2026803	Candidatus Woesearchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_013331915.1_ASM1333191v1_genomic.fna	2026803	Candidatus Woesearchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_014729915.1_ASM1472991v1_genomic.fna	2026803	Candidatus Woesearchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_015523025.1_ASM1552302v1_genomic.fna	2026803	Candidatus Woesearchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_003649055.1_ASM364905v1_genomic.fna	2026803	Candidatus Woesearchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_021734865.1_ASM2173486v1_genomic.fna	2026803	Candidatus Woesearchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_015520525.1_ASM1552052v1_genomic.fna	2026803	Candidatus Woesearchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_021734925.1_ASM2173492v1_genomic.fna	2026803	Candidatus Woesearchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_023898345.1_ASM2389834v1_genomic.fna	2026803	Candidatus Woesearchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_027074795.1_ASM2707479v1_genomic.fna	2026803	Candidatus Woesearchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_003650545.1_ASM365054v1_genomic.fna	2026803	Candidatus Woesearchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_027017365.1_ASM2701736v1_genomic.fna	2250277	Thermoprotei archaeon	Archaea	crispr_negative	Gram-negative
GCA_003650905.1_ASM365090v1_genomic.fna	2250277	Thermoprotei archaeon	Archaea	crispr_negative	Gram-negative
GCA_015661745.1_ASM1566174v1_genomic.fna	2250277	Thermoprotei archaeon	Archaea	crispr_negative	Gram-negative
GCA_003650795.1_ASM365079v1_genomic.fna	2250277	Thermoprotei archaeon	Archaea	crispr_negative	Gram-negative
GCA_003650755.1_ASM365075v1_genomic.fna	2250277	Thermoprotei archaeon	Archaea	crispr_negative	Gram-negative
GCA_003649665.1_ASM364966v1_genomic.fna	2250277	Thermoprotei archaeon	Archaea	crispr_negative	Gram-negative
GCA_003650865.1_ASM365086v1_genomic.fna	2250277	Thermoprotei archaeon	Archaea	crispr_negative	Gram-negative
GCA_003661775.1_ASM366177v1_genomic.fna	2250277	Thermoprotei archaeon	Archaea	crispr_negative	Gram-negative
GCA_011042315.1_ASM1104231v1_genomic.fna	2250277	Thermoprotei archaeon	Archaea	crispr_negative	Gram-negative
GCA_003649425.1_ASM364942v1_genomic.fna	2250277	Thermoprotei archaeon	Archaea	crispr_negative	Gram-negative
GCA_027038805.1_ASM2703880v1_genomic.fna	2250277	Thermoprotei archaeon	Archaea	crispr_positive	Gram-negative
GCA_003649305.1_ASM364930v1_genomic.fna	2250277	Thermoprotei archaeon	Archaea	crispr_positive	Gram-negative
GCA_017857595.1_ASM1785759v1_genomic.fna	2250277	Thermoprotei archaeon	Archaea	crispr_positive	Gram-negative
GCA_027037475.1_ASM2703747v1_genomic.fna	2250277	Thermoprotei archaeon	Archaea	crispr_positive	Gram-negative
GCA_003650665.1_ASM365066v1_genomic.fna	2250277	Thermoprotei archaeon	Archaea	crispr_positive	Gram-negative
GCA_003649205.1_ASM364920v1_genomic.fna	2250277	Thermoprotei archaeon	Archaea	crispr_positive	Gram-negative
GCA_003649225.1_ASM364922v1_genomic.fna	2250277	Thermoprotei archaeon	Archaea	crispr_positive	Gram-negative
GCA_003649235.1_ASM364923v1_genomic.fna	2250277	Thermoprotei archaeon	Archaea	crispr_positive	Gram-negative
GCA_003650845.1_ASM365084v1_genomic.fna	2250277	Thermoprotei archaeon	Archaea	crispr_positive	Gram-negative
GCA_027101485.1_ASM2710148v1_genomic.fna	2250277	Thermoprotei archaeon	Archaea	crispr_positive	Gram-negative
GCA_003164815.1_20120700_S1D_genomic.fna	2026795	Nitrososphaerota archaeon	Archaea	crispr_negative	Gram-negative
GCA_027385995.1_ASM2738599v1_genomic.fna	2026795	Nitrososphaerota archaeon	Archaea	crispr_negative	Gram-negative
GCA_016192155.1_ASM1619215v1_genomic.fna	2026795	Nitrososphaerota archaeon	Archaea	crispr_negative	Gram-negative
GCA_021160205.1_ASM2116020v1_genomic.fna	2026795	Nitrososphaerota archaeon	Archaea	crispr_negative	Gram-negative
GCA_027320055.1_ASM2732005v1_genomic.fna	2026795	Nitrososphaerota archaeon	Archaea	crispr_negative	Gram-negative
GCA_023484575.1_ASM2348457v1_genomic.fna	2026795	Nitrososphaerota archaeon	Archaea	crispr_negative	Gram-negative
GCA_027386995.1_ASM2738699v1_genomic.fna	2026795	Nitrososphaerota archaeon	Archaea	crispr_negative	Gram-negative
GCA_023381255.1_ASM2338125v1_genomic.fna	2026795	Nitrososphaerota archaeon	Archaea	crispr_negative	Gram-negative
GCA_022571195.1_ASM2257119v1_genomic.fna	2026795	Nitrososphaerota archaeon	Archaea	crispr_negative	Gram-negative
GCA_013288055.1_ASM1328805v1_genomic.fna	2026795	Nitrososphaerota archaeon	Archaea	crispr_negative	Gram-negative
GCA_021163375.1_ASM2116337v1_genomic.fna	2026795	Nitrososphaerota archaeon	Archaea	crispr_positive	Gram-negative
GCA_021162385.1_ASM2116238v1_genomic.fna	2026795	Nitrososphaerota archaeon	Archaea	crispr_positive	Gram-negative
GCA_009889515.1_ASM988951v1_genomic.fna	2026795	Nitrososphaerota archaeon	Archaea	crispr_positive	Gram-negative
GCA_027318085.1_ASM2731808v1_genomic.fna	2026795	Nitrososphaerota archaeon	Archaea	crispr_positive	Gram-negative
GCA_021325595.1_ASM2132559v1_genomic.fna	2026795	Nitrososphaerota archaeon	Archaea	crispr_positive	Gram-negative
GCA_027344765.1_ASM2734476v1_genomic.fna	2026795	Nitrososphaerota archaeon	Archaea	crispr_positive	Gram-negative
GCA_020833125.1_ASM2083312v1_genomic.fna	2026795	Nitrososphaerota archaeon	Archaea	crispr_positive	Gram-negative
GCA_021325255.1_ASM2132525v1_genomic.fna	2026795	Nitrososphaerota archaeon	Archaea	crispr_positive	Gram-negative
GCA_021323705.1_ASM2132370v1_genomic.fna	2026795	Nitrososphaerota archaeon	Archaea	crispr_positive	Gram-negative
GCA_003660745.1_ASM366074v1_genomic.fna	2026795	Nitrososphaerota archaeon	Archaea	crispr_positive	Gram-negative
GCA_023270155.1_ASM2327015v1_genomic.fna	2026747	Candidatus Heimdallarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_004376735.1_ASM437673v1_genomic.fna	2026747	Candidatus Heimdallarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_023137035.1_ASM2313703v1_genomic.fna	2026747	Candidatus Heimdallarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_003662875.1_ASM366287v1_genomic.fna	2026747	Candidatus Heimdallarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_021399395.1_ASM2139939v1_genomic.fna	2026747	Candidatus Heimdallarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_019894765.1_ASM1989476v1_genomic.fna	2026747	Candidatus Heimdallarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_027068385.1_ASM2706838v1_genomic.fna	2026747	Candidatus Heimdallarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_004376455.1_ASM437645v1_genomic.fna	2026747	Candidatus Heimdallarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_023142255.1_ASM2314225v1_genomic.fna	2026747	Candidatus Heimdallarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_004524685.1_ASM452468v1_genomic.fna	2026747	Candidatus Heimdallarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_014730365.1_ASM1473036v1_genomic.fna	2026747	Candidatus Heimdallarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_019057815.1_ASM1905781v1_genomic.fna	2026747	Candidatus Heimdallarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_027076585.1_ASM2707658v1_genomic.fna	2026747	Candidatus Heimdallarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_025960485.1_ASM2596048v1_genomic.fna	2026747	Candidatus Heimdallarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_027040795.1_ASM2704079v1_genomic.fna	2026747	Candidatus Heimdallarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_019058195.1_ASM1905819v1_genomic.fna	2026747	Candidatus Heimdallarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_019058165.1_ASM1905816v1_genomic.fna	2026747	Candidatus Heimdallarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_018238155.1_ASM1823815v1_genomic.fna	2026747	Candidatus Heimdallarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_027018025.1_ASM2701802v1_genomic.fna	2026747	Candidatus Heimdallarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_003662935.1_ASM366293v1_genomic.fna	2026747	Candidatus Heimdallarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_009992485.1_ASM999248v1_genomic.fna	2093792	Candidatus Aenigmarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_011039365.1_ASM1103936v1_genomic.fna	2093792	Candidatus Aenigmarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_017609145.1_ASM1760914v1_genomic.fna	2093792	Candidatus Aenigmarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_016202875.1_ASM1620287v1_genomic.fna	2093792	Candidatus Aenigmarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_011772645.1_ASM1177264v1_genomic.fna	2093792	Candidatus Aenigmarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_016783305.1_ASM1678330v1_genomic.fna	2093792	Candidatus Aenigmarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_016187415.1_ASM1618741v1_genomic.fna	2093792	Candidatus Aenigmarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_016198755.1_ASM1619875v1_genomic.fna	2093792	Candidatus Aenigmarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_011043235.1_ASM1104323v1_genomic.fna	2093792	Candidatus Aenigmarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_016214795.1_ASM1621479v1_genomic.fna	2093792	Candidatus Aenigmarchaeota archaeon	Archaea	crispr_negative	Gram-negative
GCA_003663285.1_ASM366328v1_genomic.fna	2093792	Candidatus Aenigmarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_026985775.1_ASM2698577v1_genomic.fna	2093792	Candidatus Aenigmarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_018304635.1_ASM1830463v1_genomic.fna	2093792	Candidatus Aenigmarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_016198685.1_ASM1619868v1_genomic.fna	2093792	Candidatus Aenigmarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_937896335.1_SRR6823441_bin.1_CONCOCT_v1.1_MAG_genomic.fna	2093792	Candidatus Aenigmarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_003663235.1_ASM366323v1_genomic.fna	2093792	Candidatus Aenigmarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_021158665.1_ASM2115866v1_genomic.fna	2093792	Candidatus Aenigmarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_027049165.1_ASM2704916v1_genomic.fna	2093792	Candidatus Aenigmarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_016931255.1_ASM1693125v1_genomic.fna	2093792	Candidatus Aenigmarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_027000075.1_ASM2700007v1_genomic.fna	2093792	Candidatus Aenigmarchaeota archaeon	Archaea	crispr_positive	Gram-negative
GCA_026986935.1_ASM2698693v1_genomic.fna	2528704	Pyrodictiaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_026999445.1_ASM2699944v1_genomic.fna	2528704	Pyrodictiaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_027028845.1_ASM2702884v1_genomic.fna	2528704	Pyrodictiaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_027037355.1_ASM2703735v1_genomic.fna	2528704	Pyrodictiaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_015521725.1_ASM1552172v1_genomic.fna	2528704	Pyrodictiaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_027046525.1_ASM2704652v1_genomic.fna	2528704	Pyrodictiaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_015521165.1_ASM1552116v1_genomic.fna	2528704	Pyrodictiaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_027058575.1_ASM2705857v1_genomic.fna	2528704	Pyrodictiaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_015520245.1_ASM1552024v1_genomic.fna	2528704	Pyrodictiaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_027000225.1_ASM2700022v1_genomic.fna	2528704	Pyrodictiaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_012962895.1_ASM1296289v1_genomic.fna	2528704	Pyrodictiaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027033065.1_ASM2703306v1_genomic.fna	2528704	Pyrodictiaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027014275.1_ASM2701427v1_genomic.fna	2528704	Pyrodictiaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027062725.1_ASM2706272v1_genomic.fna	2528704	Pyrodictiaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027046105.1_ASM2704610v1_genomic.fna	2528704	Pyrodictiaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027036135.1_ASM2703613v1_genomic.fna	2528704	Pyrodictiaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027046265.1_ASM2704626v1_genomic.fna	2528704	Pyrodictiaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027015595.1_ASM2701559v1_genomic.fna	2528704	Pyrodictiaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027033675.1_ASM2703367v1_genomic.fna	2528704	Pyrodictiaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027013705.1_ASM2701370v1_genomic.fna	2528704	Pyrodictiaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_016297775.1_ASM1629777v1_genomic.fna	2517205	Candidatus Methanomethylophilaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_016297015.1_ASM1629701v1_genomic.fna	2517205	Candidatus Methanomethylophilaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_007130035.1_ASM713003v1_genomic.fna	2517205	Candidatus Methanomethylophilaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_016296195.1_ASM1629619v1_genomic.fna	2517205	Candidatus Methanomethylophilaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_017451765.1_ASM1745176v1_genomic.fna	2517205	Candidatus Methanomethylophilaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_017627095.1_ASM1762709v1_genomic.fna	2517205	Candidatus Methanomethylophilaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_021634835.1_ASM2163483v1_genomic.fna	2517205	Candidatus Methanomethylophilaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_011620825.1_ASM1162082v1_genomic.fna	2517205	Candidatus Methanomethylophilaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_017628295.1_ASM1762829v1_genomic.fna	2517205	Candidatus Methanomethylophilaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_017964945.1_ASM1796494v1_genomic.fna	2517205	Candidatus Methanomethylophilaceae archaeon	Archaea	crispr_negative	Gram-negative
GCA_944321985.1_BRZ_KP_bin43_genomic.fna	2517205	Candidatus Methanomethylophilaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_017461225.1_ASM1746122v1_genomic.fna	2517205	Candidatus Methanomethylophilaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_023230065.1_ASM2323006v1_genomic.fna	2517205	Candidatus Methanomethylophilaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_017524805.1_ASM1752480v1_genomic.fna	2517205	Candidatus Methanomethylophilaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_944320205.1_BRZ_LV_bin11_genomic.fna	2517205	Candidatus Methanomethylophilaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_017519045.1_ASM1751904v1_genomic.fna	2517205	Candidatus Methanomethylophilaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_944320485.1_E27_bin288_genomic.fna	2517205	Candidatus Methanomethylophilaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_017530685.1_ASM1753068v1_genomic.fna	2517205	Candidatus Methanomethylophilaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_944320375.1_BRZ_N_bin190_genomic.fna	2517205	Candidatus Methanomethylophilaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_017543945.1_ASM1754394v1_genomic.fna	2517205	Candidatus Methanomethylophilaceae archaeon	Archaea	crispr_positive	Gram-negative
GCA_027376035.1_ASM2737603v1_genomic.fna	2591003	Ferroplasma sp.	Archaea	crispr_negative	Gram-negative
GCA_027381655.1_ASM2738165v1_genomic.fna	2591003	Ferroplasma sp.	Archaea	crispr_negative	Gram-negative
GCA_027372565.1_ASM2737256v1_genomic.fna	2591003	Ferroplasma sp.	Archaea	crispr_negative	Gram-negative
GCA_027376055.1_ASM2737605v1_genomic.fna	2591003	Ferroplasma sp.	Archaea	crispr_negative	Gram-negative
GCA_027335855.1_ASM2733585v1_genomic.fna	2591003	Ferroplasma sp.	Archaea	crispr_negative	Gram-negative
GCA_027309785.1_ASM2730978v1_genomic.fna	2591003	Ferroplasma sp.	Archaea	crispr_negative	Gram-negative
GCA_027381715.1_ASM2738171v1_genomic.fna	2591003	Ferroplasma sp.	Archaea	crispr_negative	Gram-negative
GCA_027309755.1_ASM2730975v1_genomic.fna	2591003	Ferroplasma sp.	Archaea	crispr_negative	Gram-negative
GCA_027375895.1_ASM2737589v1_genomic.fna	2591003	Ferroplasma sp.	Archaea	crispr_negative	Gram-negative
GCA_027376015.1_ASM2737601v1_genomic.fna	2591003	Ferroplasma sp.	Archaea	crispr_negative	Gram-negative
GCA_027375875.1_ASM2737587v1_genomic.fna	2591003	Ferroplasma sp.	Archaea	crispr_positive	Gram-negative
GCA_027375775.1_ASM2737577v1_genomic.fna	2591003	Ferroplasma sp.	Archaea	crispr_positive	Gram-negative
GCA_027375975.1_ASM2737597v1_genomic.fna	2591003	Ferroplasma sp.	Archaea	crispr_positive	Gram-negative
GCA_027375715.1_ASM2737571v1_genomic.fna	2591003	Ferroplasma sp.	Archaea	crispr_positive	Gram-negative
GCA_027375945.1_ASM2737594v1_genomic.fna	2591003	Ferroplasma sp.	Archaea	crispr_positive	Gram-negative
GCA_027331705.1_ASM2733170v1_genomic.fna	2591003	Ferroplasma sp.	Archaea	crispr_positive	Gram-negative
GCA_027365615.1_ASM2736561v1_genomic.fna	2591003	Ferroplasma sp.	Archaea	crispr_positive	Gram-negative
GCA_027375835.1_ASM2737583v1_genomic.fna	2591003	Ferroplasma sp.	Archaea	crispr_positive	Gram-negative
GCA_027375675.1_ASM2737567v1_genomic.fna	2591003	Ferroplasma sp.	Archaea	crispr_positive	Gram-negative
GCA_027375935.1_ASM2737593v1_genomic.fna	2591003	Ferroplasma sp.	Archaea	crispr_positive	Gram-negative
